dataset,path,vendor,dims,dtype,data_exists,data_mb,class,volume_id,n_slices,slice_format,used_png_fallback,n_excluded_png,n_excluded_other,open_ok,slice_index_min,slice_index_max,slice_index_gap,width_mode,height_mode,dims_consistent,image0_present,image0_width,image0_height
RETOUCH,RETOUCH/RETOUCH-TestSet-Cirrus/TEST001/oct.mhd,Cirrus,"[512, 1024, 128]",MET_UCHAR,True,64.0,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TestSet-Cirrus/TEST002/oct.mhd,Cirrus,"[512, 1024, 128]",MET_UCHAR,True,64.0,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TestSet-Cirrus/TEST003/oct.mhd,Cirrus,"[512, 1024, 128]",MET_UCHAR,True,64.0,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TestSet-Cirrus/TEST004/oct.mhd,Cirrus,"[512, 1024, 128]",MET_UCHAR,True,64.0,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TestSet-Cirrus/TEST005/oct.mhd,Cirrus,"[512, 1024, 128]",MET_UCHAR,True,64.0,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TestSet-Cirrus/TEST006/oct.mhd,Cirrus,"[512, 1024, 128]",MET_UCHAR,True,64.0,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TestSet-Cirrus/TEST007/oct.mhd,Cirrus,"[512, 1024, 128]",MET_UCHAR,True,64.0,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TestSet-Cirrus/TEST008/oct.mhd,Cirrus,"[512, 1024, 128]",MET_UCHAR,True,64.0,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TestSet-Cirrus/TEST009/oct.mhd,Cirrus,"[512, 1024, 128]",MET_UCHAR,True,64.0,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TestSet-Cirrus/TEST010/oct.mhd,Cirrus,"[512, 1024, 128]",MET_UCHAR,True,64.0,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TestSet-Cirrus/TEST011/oct.mhd,Cirrus,"[512, 1024, 128]",MET_UCHAR,True,64.0,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TestSet-Cirrus/TEST012/oct.mhd,Cirrus,"[512, 1024, 128]",MET_UCHAR,True,64.0,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TestSet-Cirrus/TEST013/oct.mhd,Cirrus,"[512, 1024, 128]",MET_UCHAR,True,64.0,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TestSet-Cirrus/TEST014/oct.mhd,Cirrus,"[512, 1024, 128]",MET_UCHAR,True,64.0,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TestSet-Spectralis/TEST015/oct.mhd,Spectralis,"[512, 496, 49]",MET_USHORT,True,23.73,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TestSet-Spectralis/TEST016/oct.mhd,Spectralis,"[512, 496, 49]",MET_USHORT,True,23.73,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TestSet-Spectralis/TEST017/oct.mhd,Spectralis,"[512, 496, 49]",MET_USHORT,True,23.73,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TestSet-Spectralis/TEST018/oct.mhd,Spectralis,"[512, 496, 49]",MET_USHORT,True,23.73,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TestSet-Spectralis/TEST019/oct.mhd,Spectralis,"[512, 496, 49]",MET_USHORT,True,23.73,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TestSet-Spectralis/TEST020/oct.mhd,Spectralis,"[512, 496, 49]",MET_USHORT,True,23.73,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TestSet-Spectralis/TEST021/oct.mhd,Spectralis,"[512, 496, 49]",MET_USHORT,True,23.73,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TestSet-Spectralis/TEST022/oct.mhd,Spectralis,"[512, 496, 49]",MET_USHORT,True,23.73,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TestSet-Spectralis/TEST023/oct.mhd,Spectralis,"[512, 496, 49]",MET_USHORT,True,23.73,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TestSet-Spectralis/TEST024/oct.mhd,Spectralis,"[512, 496, 49]",MET_USHORT,True,23.73,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TestSet-Spectralis/TEST025/oct.mhd,Spectralis,"[512, 496, 49]",MET_USHORT,True,23.73,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TestSet-Spectralis/TEST026/oct.mhd,Spectralis,"[512, 496, 49]",MET_USHORT,True,23.73,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TestSet-Spectralis/TEST027/oct.mhd,Spectralis,"[1024, 496, 49]",MET_USHORT,True,47.47,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TestSet-Spectralis/TEST028/oct.mhd,Spectralis,"[512, 496, 49]",MET_USHORT,True,23.73,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TestSet-Topcon/TEST029/oct.mhd,Topcon,"[512, 885, 128]",MET_UCHAR,True,55.31,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TestSet-Topcon/TEST030/oct.mhd,Topcon,"[512, 480, 128]",MET_UCHAR,True,30.0,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TestSet-Topcon/TEST031/oct.mhd,Topcon,"[512, 885, 128]",MET_UCHAR,True,55.31,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TestSet-Topcon/TEST032/oct.mhd,Topcon,"[512, 480, 128]",MET_UCHAR,True,30.0,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TestSet-Topcon/TEST033/oct.mhd,Topcon,"[512, 885, 128]",MET_UCHAR,True,55.31,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TestSet-Topcon/TEST034/oct.mhd,Topcon,"[512, 885, 128]",MET_UCHAR,True,55.31,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TestSet-Topcon/TEST035/oct.mhd,Topcon,"[512, 885, 128]",MET_UCHAR,True,55.31,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TestSet-Topcon/TEST036/oct.mhd,Topcon,"[512, 885, 128]",MET_UCHAR,True,55.31,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TestSet-Topcon/TEST037/oct.mhd,Topcon,"[512, 885, 128]",MET_UCHAR,True,55.31,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TestSet-Topcon/TEST038/oct.mhd,Topcon,"[512, 885, 128]",MET_UCHAR,True,55.31,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TestSet-Topcon/TEST039/oct.mhd,Topcon,"[512, 885, 128]",MET_UCHAR,True,55.31,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TestSet-Topcon/TEST040/oct.mhd,Topcon,"[512, 650, 128]",MET_UCHAR,True,40.62,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TestSet-Topcon/TEST041/oct.mhd,Topcon,"[512, 885, 128]",MET_UCHAR,True,55.31,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TestSet-Topcon/TEST042/oct.mhd,Topcon,"[512, 650, 128]",MET_UCHAR,True,40.62,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TrainingSet-Cirrus/TRAIN001/oct.mhd,Cirrus,"[512, 1024, 128]",MET_UCHAR,True,64.0,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TrainingSet-Cirrus/TRAIN001/reference.mhd,Cirrus,"[512, 1024, 128]",MET_UCHAR,True,64.0,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TrainingSet-Cirrus/TRAIN002/oct.mhd,Cirrus,"[512, 1024, 128]",MET_UCHAR,True,64.0,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TrainingSet-Cirrus/TRAIN002/reference.mhd,Cirrus,"[512, 1024, 128]",MET_UCHAR,True,64.0,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TrainingSet-Cirrus/TRAIN003/oct.mhd,Cirrus,"[512, 1024, 128]",MET_UCHAR,True,64.0,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TrainingSet-Cirrus/TRAIN003/reference.mhd,Cirrus,"[512, 1024, 128]",MET_UCHAR,True,64.0,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TrainingSet-Cirrus/TRAIN004/oct.mhd,Cirrus,"[512, 1024, 128]",MET_UCHAR,True,64.0,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TrainingSet-Cirrus/TRAIN004/reference.mhd,Cirrus,"[512, 1024, 128]",MET_UCHAR,True,64.0,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TrainingSet-Cirrus/TRAIN005/oct.mhd,Cirrus,"[512, 1024, 128]",MET_UCHAR,True,64.0,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TrainingSet-Cirrus/TRAIN005/reference.mhd,Cirrus,"[512, 1024, 128]",MET_UCHAR,True,64.0,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TrainingSet-Cirrus/TRAIN006/oct.mhd,Cirrus,"[512, 1024, 128]",MET_UCHAR,True,64.0,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TrainingSet-Cirrus/TRAIN006/reference.mhd,Cirrus,"[512, 1024, 128]",MET_UCHAR,True,64.0,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TrainingSet-Cirrus/TRAIN007/oct.mhd,Cirrus,"[512, 1024, 128]",MET_UCHAR,True,64.0,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TrainingSet-Cirrus/TRAIN007/reference.mhd,Cirrus,"[512, 1024, 128]",MET_UCHAR,True,64.0,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TrainingSet-Cirrus/TRAIN008/oct.mhd,Cirrus,"[512, 1024, 128]",MET_UCHAR,True,64.0,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TrainingSet-Cirrus/TRAIN008/reference.mhd,Cirrus,"[512, 1024, 128]",MET_UCHAR,True,64.0,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TrainingSet-Cirrus/TRAIN009/oct.mhd,Cirrus,"[512, 1024, 128]",MET_UCHAR,True,64.0,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TrainingSet-Cirrus/TRAIN009/reference.mhd,Cirrus,"[512, 1024, 128]",MET_UCHAR,True,64.0,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TrainingSet-Cirrus/TRAIN010/oct.mhd,Cirrus,"[512, 1024, 128]",MET_UCHAR,True,64.0,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TrainingSet-Cirrus/TRAIN010/reference.mhd,Cirrus,"[512, 1024, 128]",MET_UCHAR,True,64.0,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TrainingSet-Cirrus/TRAIN011/oct.mhd,Cirrus,"[512, 1024, 128]",MET_UCHAR,True,64.0,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TrainingSet-Cirrus/TRAIN011/reference.mhd,Cirrus,"[512, 1024, 128]",MET_UCHAR,True,64.0,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TrainingSet-Cirrus/TRAIN012/oct.mhd,Cirrus,"[512, 1024, 128]",MET_UCHAR,True,64.0,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TrainingSet-Cirrus/TRAIN012/reference.mhd,Cirrus,"[512, 1024, 128]",MET_UCHAR,True,64.0,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TrainingSet-Cirrus/TRAIN013/oct.mhd,Cirrus,"[512, 1024, 128]",MET_UCHAR,True,64.0,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TrainingSet-Cirrus/TRAIN013/reference.mhd,Cirrus,"[512, 1024, 128]",MET_UCHAR,True,64.0,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TrainingSet-Cirrus/TRAIN014/oct.mhd,Cirrus,"[512, 1024, 128]",MET_UCHAR,True,64.0,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TrainingSet-Cirrus/TRAIN014/reference.mhd,Cirrus,"[512, 1024, 128]",MET_UCHAR,True,64.0,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TrainingSet-Cirrus/TRAIN015/oct.mhd,Cirrus,"[512, 1024, 128]",MET_UCHAR,True,64.0,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TrainingSet-Cirrus/TRAIN015/reference.mhd,Cirrus,"[512, 1024, 128]",MET_UCHAR,True,64.0,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TrainingSet-Cirrus/TRAIN016/oct.mhd,Cirrus,"[512, 1024, 128]",MET_UCHAR,True,64.0,,,,,,,,,,,,,,,,,
RETOUCH,RETOUCH/RETOUCH-TrainingSet-Cirrus/TRAIN016/reference.mhd,Cirrus,"[512, 1024, 128]",MET_UCHAR,True,64.0,,,,,,,,,,,,,,,,,
