path,vendor,set,element_type,n_unique,gcd_nonzero,dtype,min,max,mean,std,p1,p5,p25,p50,p75,p95,p99,frac_at_max,frac_top_1pct
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TestSet-Cirrus/TEST001/oct.mhd,Cirrus,test,MET_UCHAR,224,1,uint8,0,238,40.918497279286385,27.361531158339435,0.0,9.0,24.0,34.0,50.0,101.0,131.0,1.4901161193847656e-08,0.0
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TestSet-Cirrus/TEST002/oct.mhd,Cirrus,test,MET_UCHAR,189,1,uint8,0,191,35.12057699263096,20.69492518576284,0.0,9.0,22.0,31.0,43.0,77.0,107.0,1.4901161193847656e-08,0.0
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TestSet-Cirrus/TEST003/oct.mhd,Cirrus,test,MET_UCHAR,199,1,uint8,0,203,32.8207868039608,23.707604025880705,0.0,7.0,18.0,27.0,40.0,84.0,120.0,1.4901161193847656e-08,0.0
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TestSet-Cirrus/TEST004/oct.mhd,Cirrus,test,MET_UCHAR,194,1,uint8,0,193,37.08852706849575,21.21585538065336,0.0,10.0,24.0,33.0,45.0,79.0,110.0,2.9802322387695312e-08,0.0
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TestSet-Cirrus/TEST005/oct.mhd,Cirrus,test,MET_UCHAR,223,1,uint8,0,228,33.631761103868484,20.562268434754188,0.0,7.0,21.0,30.0,41.0,75.0,105.0,1.4901161193847656e-08,0.0
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TestSet-Cirrus/TEST006/oct.mhd,Cirrus,test,MET_UCHAR,211,1,uint8,0,212,32.54646837711334,24.752491480346134,0.0,6.0,17.0,25.0,40.0,87.0,118.0,2.9802322387695312e-08,0.0
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TestSet-Cirrus/TEST007/oct.mhd,Cirrus,test,MET_UCHAR,216,1,uint8,0,226,37.843298971652985,26.57223682439808,0.0,4.0,22.0,31.0,46.0,95.0,129.0,1.4901161193847656e-08,0.0
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TestSet-Cirrus/TEST008/oct.mhd,Cirrus,test,MET_UCHAR,214,1,uint8,0,216,38.30420562624931,27.101558571594428,0.0,9.0,21.0,30.0,47.0,98.0,130.0,2.9802322387695312e-08,0.0
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TestSet-Cirrus/TEST009/oct.mhd,Cirrus,test,MET_UCHAR,229,1,uint8,0,241,36.94846713542938,25.736422629638053,0.0,8.0,21.0,29.0,45.0,93.0,124.0,1.4901161193847656e-08,0.0
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TestSet-Cirrus/TEST010/oct.mhd,Cirrus,test,MET_UCHAR,233,1,uint8,0,244,36.62848301231861,26.207589655296783,0.0,8.0,21.0,29.0,44.0,95.0,128.0,1.4901161193847656e-08,0.0
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TestSet-Cirrus/TEST011/oct.mhd,Cirrus,test,MET_UCHAR,199,1,uint8,0,200,37.2991046756506,22.631123518927847,0.0,9.0,23.0,32.0,46.0,84.0,114.0,1.4901161193847656e-08,0.0
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TestSet-Cirrus/TEST012/oct.mhd,Cirrus,test,MET_UCHAR,205,1,uint8,0,210,34.19929964840412,24.803226576140776,0.0,4.0,19.0,28.0,41.0,88.0,124.0,1.4901161193847656e-08,0.0
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TestSet-Cirrus/TEST013/oct.mhd,Cirrus,test,MET_UCHAR,212,1,uint8,0,212,38.5944000184536,27.685143523470707,0.0,6.0,21.0,30.0,48.0,99.0,128.0,1.4901161193847656e-08,0.0
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TestSet-Cirrus/TEST014/oct.mhd,Cirrus,test,MET_UCHAR,192,1,uint8,0,191,35.29948192834854,21.526372344790143,0.0,7.0,22.0,31.0,44.0,80.0,107.0,2.9802322387695312e-08,0.0
/Users/yuhaowang/Documents/UCL/Term3_Proj/Dataset/RETOUCH/RETOUCH/RETOUCH-TestSet-Spectralis/TEST015/oct.mhd,Spectralis,test,MET_USHORT,20012,1,uint16,0,65535,9936.002694065277,9450.09831712955,0.0,0.0,4268.0,6919.0,12245.0,29360.0,45658.0,6.702214656023699e-05,0.00020187006254114548
