split,class,n,cosine_mean,maha_mean
train,CNV,31412,0.7456155,-0.18471242
train,DME,9581,0.7547827,0.07610503
train,DRUSEN,7274,0.7788138,0.46319836
train,NORMAL,22217,0.778459,0.076685406
val,CNV,2228,0.74165255,-0.15741654
val,DME,680,0.7363633,0.091702454
val,DRUSEN,516,0.74608743,0.4755785
val,NORMAL,1576,0.7702619,0.08238256
calibration,CNV,3565,0.7409184,-0.16011997
calibration,DME,1087,0.7333902,0.03791454
calibration,DRUSEN,826,0.7383071,0.47961703
calibration,NORMAL,2522,0.7688142,0.06341665
test,CNV,242,0.7933821,-0.12207952
test,DME,242,0.69999605,0.2774859
test,DRUSEN,242,0.815237,0.5334275
test,NORMAL,242,0.86378473,0.06571659
