alpha,split,scheme,n,coverage,min_class_coverage,mean_size,size_entropy,frac_empty,frac_singleton,frac_multi,nominal,deviation_pp,cov_CNV,cov_DME,cov_DRUSEN,cov_NORMAL,size_0,size_1,size_2,size_3,size_4
0.1,calibration,global,8000,0.90025,0.6719128329297821,0.905,0.4529425481872832,0.095,0.905,0.0,0.9,0.024999999999997247,0.9312762973352033,0.8785648574057038,0.6719128329297821,0.9405233941316415,760,7240,0,0,0
0.1,calibration,mondrian,8000,0.901375,0.9007012622720898,0.911,0.43312311020240934,0.089,0.911,0.0,0.9,0.1375000000000015,0.9007012622720898,0.9024839006439742,0.9031476997578692,0.901268834258525,712,7288,0,0,0
0.1,val,global,5000,0.906,0.6976744186046512,0.9104,0.4351332580971759,0.0896,0.9104,0.0,0.9,0.6000000000000005,0.9344703770197487,0.8794117647058823,0.6976744186046512,0.9454314720812182,448,4552,0,0,0
0.1,val,mondrian,5000,0.9042,0.8970588235294118,0.9136,0.4243379392150326,0.0864,0.9136,0.0,0.9,0.41999999999999815,0.901705565529623,0.8970588235294118,0.9147286821705426,0.9073604060913706,432,4568,0,0,0
0.05,calibration,global,8000,0.95025,0.8196125907990315,0.963875,0.22423421061073565,0.036125,0.963875,0.0,0.95,0.02500000000000835,0.9649368863955119,0.9466421343146274,0.8196125907990315,0.9738302934179223,289,7711,0,0,0
0.05,calibration,mondrian,8000,0.951125,0.9506311360448808,0.974,0.17391711692221742,0.026,0.974,0.0,0.95,0.11250000000000426,0.9506311360448808,0.952161913523459,0.9527845036319612,0.950832672482157,208,7792,0,0,0
0.05,val,global,5000,0.9544,0.8352713178294574,0.965,0.218877726539011,0.035,0.965,0.0,0.95,0.44000000000000705,0.9663375224416517,0.9485294117647058,0.8352713178294574,0.9790609137055838,175,4825,0,0,0
0.05,val,mondrian,5000,0.9546,0.952423698384201,0.9734,0.1770433412634236,0.0266,0.9734,0.0,0.95,0.46000000000000485,0.952423698384201,0.9529411764705882,0.9593023255813954,0.9568527918781726,133,4867,0,0,0
0.02,calibration,global,8000,0.98025,0.9309927360774818,1.010625,0.08490859081321625,0.0,0.989375,0.010625,0.98,0.024999999999997247,0.9870967741935484,0.9733210671573137,0.9309927360774818,0.9896907216494846,0,7915,85,0,0
0.02,calibration,mondrian,8000,0.98125,0.9806451612903225,1.0335,0.21307717971604065,0.0,0.967125,0.032875,0.98,0.12499999999999734,0.9806451612903225,0.9825206991720331,0.9830508474576272,0.9809674861221253,0,7737,258,5,0
0.02,val,global,5000,0.982,0.936046511627907,1.0096,0.07812957808071866,0.0,0.9904,0.0096,0.98,0.20000000000000018,0.9865350089766607,0.9764705882352941,0.936046511627907,0.993020304568528,0,4952,48,0,0
0.02,val,mondrian,5000,0.9832,0.9786821705426356,1.0316,0.20738896449168817,0.0002,0.9686,0.0312,0.98,0.31999999999999806,0.9807001795332136,0.9911764705882353,0.9786821705426356,0.9847715736040609,1,4843,153,3,0
0.01,calibration,global,8000,0.99025,0.9685230024213075,1.0635,0.3466938724248423,0.0,0.939875,0.060125,0.99,0.024999999999997247,0.994109396914446,0.9862005519779209,0.9685230024213075,0.9936558287073751,0,7519,454,27,0
0.01,calibration,mondrian,8000,0.99125,0.9907433380084152,1.125625,0.5659707097993061,0.0,0.889125,0.110875,0.99,0.12499999999999734,0.9907433380084152,0.9926402943882244,0.9927360774818402,0.9908802537668517,0,7113,770,116,1
0.01,val,global,5000,0.992,0.9748062015503876,1.059,0.3284350505423711,0.0,0.944,0.056,0.99,0.20000000000000018,0.9932675044883303,0.9911764705882353,0.9748062015503876,0.9961928934010152,0,4720,266,13,1
0.01,val,mondrian,5000,0.9926,0.9903100775193798,1.1264,0.5690121706715154,0.0,0.8876,0.1124,0.99,0.26000000000000467,0.9919210053859964,0.9955882352941177,0.9903100775193798,0.993020304568528,0,4438,493,68,1
0.005,calibration,global,8000,0.99525,0.9854721549636803,1.10975,0.5147927735961487,0.0,0.90475,0.09525,0.995,0.024999999999997247,0.9971949509116409,0.9908003679852806,0.9854721549636803,0.9976209357652657,0,7238,665,78,19
0.005,calibration,mondrian,8000,0.9965,0.9957924263674615,2.032,0.8466908777935497,0.0,0.070625,0.929375,0.995,0.15000000000000568,0.9957924263674615,0.9972401103955841,1.0,0.9960348929421095,0,565,6650,749,36
0.005,val,global,5000,0.9956,0.9786821705426356,1.1014,0.4870447151380169,0.0,0.9108,0.0892,0.995,0.060000000000004494,0.9973070017953322,0.9941176470588236,0.9786821705426356,0.9993654822335025,0,4554,394,43,9
0.005,val,mondrian,5000,0.9972,0.9955116696588869,2.0264,0.850901959321397,0.0,0.074,0.926,0.995,0.21999999999999797,0.9955116696588869,0.9970588235294118,1.0,0.998730964467005,0,370,4148,462,20
