condition,ratio,feature,coefficient
2,5,ood_cosine,-7.58078242532878e-05
2,5,ood_maha_combined,0.00044580312371021724
2,5,intercept,-16.840462586987773
2,10,ood_cosine,-3.758834438267762
2,10,ood_maha_combined,0.9276746427705543
2,10,intercept,-6.788620676202227
2,20,ood_cosine,-4.941868456198204
2,20,ood_maha_combined,1.1452930453090917
2,20,intercept,-5.502337982116148
2,50,ood_cosine,-6.069908672002223
2,50,ood_maha_combined,1.8398497805790022
2,50,intercept,-2.6215281445578253
5,5,ood_cosine,-1.0596211821058326
5,5,ood_maha_combined,0.3811834386698345
5,5,mutual_info,2.084705482275447
5,5,cp_setsize,0.03990375761955384
5,5,intercept,-7.381772179256032
5,10,ood_cosine,-1.4263225132897608
5,10,ood_maha_combined,1.160403032395397
5,10,mutual_info,2.736661537406429
5,10,cp_setsize,0.9612083622779894
5,10,intercept,-6.160706610172756
5,20,ood_cosine,-1.7715272236915798
5,20,ood_maha_combined,1.3305454964212458
5,20,mutual_info,3.5718005443429965
5,20,cp_setsize,1.0708431199709787
5,20,intercept,-5.125154177646809
5,50,ood_cosine,-3.598654357544583
5,50,ood_maha_combined,1.3150763306224789
5,50,mutual_info,4.761118686259864
5,50,cp_setsize,0.6818802943841825
5,50,intercept,-2.1268089521487608
