condition,ratio,deferral_rate,accepted_error_rate,expected_cost,n,n_accepted,n_iterations,final_training_cost,coef_ood_cosine,coef_ood_maha_combined,intercept,coef_mutual_info,coef_cp_setsize
1,5,0.0,0.02200000000000002,0.1100000000000001,5000,5000,,,,,,,
1,10,0.0,0.02200000000000002,0.2200000000000002,5000,5000,,,,,,,
1,20,0.0,0.02200000000000002,0.4400000000000004,5000,5000,,,,,,,
1,50,0.0,0.02200000000000002,1.100000000000001,5000,5000,,,,,,,
2,5,0.0,0.022,0.11,5000,5000,4.0,0.1231250426820613,-7.58078242532878e-05,0.00044580312371021724,-16.840462586987773,,
2,10,0.0716,0.012063765618267988,0.1836,5000,4642,15.0,0.2163835132665006,-3.758834438267762,0.9276746427705543,-6.788620676202227,,
2,20,0.1372,0.008576726935558646,0.2852,5000,4314,10.0,0.3112711416865106,-4.941868456198204,1.1452930453090917,-5.502337982116148,,
2,50,0.262,0.005420054200542005,0.462,5000,3690,11.0,0.46541391952434863,-6.069908672002223,1.8398497805790022,-2.6215281445578253,,
3,5,0.0308,0.014032191498142799,0.0988,5000,4846,15.0,0.10984552889958094,,,-6.639112541350802,2.5958342754055295,
3,10,0.0448,0.010469011725293133,0.1448,5000,4776,13.0,0.17798988743474806,,,-4.891621276321712,3.9099596760803945,
3,20,0.0582,0.008282013166277342,0.2142,5000,4709,12.0,0.28479143057664275,,,-2.999700130278182,6.310802843020651,
3,50,0.0758,0.005842891149101926,0.3458,5000,4621,11.0,0.5233864398731799,,,-0.6287670161600262,9.969184791142403,
4,5,0.0312,0.016308835672997523,0.1102,5000,4844,18.0,0.12204820318517492,,,-7.571050379943598,,1.7841515249427027
4,10,0.0312,0.016308835672997523,0.1892,5000,4844,14.0,0.20989818398309373,,,-7.171143837308616,,2.216707211092231
4,20,0.0312,0.016308835672997523,0.3472,5000,4844,11.0,0.38398642315368126,,,-6.837977893413152,,2.344641389431896
4,50,0.0312,0.016308835672997523,0.8212,5000,4844,14.0,0.9049180459215519,,,-5.063001137716792,,2.22337918592329
5,5,0.0316,0.013424204874019,0.0966,5000,4842,20.0,0.1083935220943808,-1.0596211821058326,0.3811834386698345,-7.381772179256032,2.084705482275447,0.03990375761955384
5,10,0.0586,0.008922880815806247,0.1426,5000,4707,12.0,0.16120221333666895,-1.4263225132897608,1.160403032395397,-6.160706610172756,2.736661537406429,0.9612083622779894
5,20,0.0696,0.007523645743766122,0.2096,5000,4652,14.0,0.24525225008909443,-1.7715272236915798,1.3305454964212458,-5.125154177646809,3.5718005443429965,1.0708431199709787
5,50,0.1862,0.004915212582944212,0.3862,5000,4069,16.0,0.43799361265338815,-3.598654357544583,1.3150763306224789,-2.1268089521487608,4.761118686259864,0.6818802943841825
B2,5,0.0442,0.00983469345051266,0.0912,5000,4779,,,,,,,
B2,10,0.0876,0.004822446295484437,0.1316,5000,4562,,,,,,,
B2,20,0.0944,0.004637809187279152,0.1784,5000,4528,,,,,,,
B2,50,0.1186,0.0040844111640571815,0.2986,5000,4407,,,,,,,
