condition,ratio,deferral_rate,accepted_error_rate,expected_cost,n,n_accepted
1,5,0.0,0.02200000000000002,0.1100000000000001,5000,5000
1,10,0.0,0.02200000000000002,0.2200000000000002,5000,5000
1,20,0.0,0.02200000000000002,0.4400000000000004,5000,5000
1,50,0.0,0.02200000000000002,1.100000000000001,5000,5000
2,5,0.0,0.022,0.11,5000,5000
2,10,0.0716,0.012063765618267988,0.1836,5000,4642
2,20,0.1372,0.008576726935558646,0.2852,5000,4314
2,50,0.262,0.005420054200542005,0.462,5000,3690
3,5,0.0308,0.014032191498142799,0.0988,5000,4846
3,10,0.0448,0.010469011725293133,0.1448,5000,4776
3,20,0.0582,0.008282013166277342,0.2142,5000,4709
3,50,0.0758,0.005842891149101926,0.3458,5000,4621
4,5,0.0312,0.016308835672997523,0.1102,5000,4844
4,10,0.0312,0.016308835672997523,0.1892,5000,4844
4,20,0.0312,0.016308835672997523,0.3472,5000,4844
4,50,0.0312,0.016308835672997523,0.8212,5000,4844
5,5,0.0316,0.013424204874019,0.0966,5000,4842
5,10,0.0586,0.008922880815806247,0.1426,5000,4707
5,20,0.0696,0.007523645743766122,0.2096,5000,4652
5,50,0.1862,0.004915212582944212,0.3862,5000,4069
B2,5,0.0442,0.00983469345051266,0.0912,5000,4779
B2,10,0.0876,0.004822446295484437,0.1316,5000,4562
B2,20,0.0944,0.004637809187279152,0.1784,5000,4528
B2,50,0.1186,0.0040844111640571815,0.2986,5000,4407
