condition,coverage,policy_risk,b2_risk,gain
2,0.7,0.004857142857142892,0.001714285714285668,-0.003142857142857224
2,0.8,0.007499999999999951,0.0024999999999999467,-0.0050000000000000044
2,0.9,0.009777777777777774,0.004222222222222238,-0.005555555555555536
3,0.7,0.0,0.001714285714285668,0.001714285714285668
3,0.8,0.0010000000000000009,0.0024999999999999467,0.0014999999999999458
3,0.9,0.004444444444444473,0.004222222222222238,-0.00022222222222223476
4,0.7,0.0168571428571429,0.001714285714285668,-0.015142857142857232
4,0.8,0.016249999999999987,0.0024999999999999467,-0.01375000000000004
4,0.9,0.016888888888888842,0.004222222222222238,-0.012666666666666604
5,0.7,0.001714285714285668,0.001714285714285668,0.0
5,0.8,0.0040000000000000036,0.0024999999999999467,-0.0015000000000000568
5,0.9,0.005333333333333301,0.004222222222222238,-0.0011111111111110628
