condition,coverage,class,accepted_error_rate,n_accepted,n_class
2,0.7,CNV,0.00516795865633075,1548,2228
2,0.7,DME,0.0021231422505307855,471,680
2,0.7,DRUSEN,0.011560693641618497,346,516
2,0.7,NORMAL,0.003524229074889868,1135,1576
2,0.8,CNV,0.007972665148063782,1756,2228
2,0.8,DME,0.0035842293906810036,558,680
2,0.8,DRUSEN,0.0175,400,516
2,0.8,NORMAL,0.005443234836702955,1286,1576
2,0.9,CNV,0.010616784630940344,1978,2228
2,0.9,DME,0.0047169811320754715,636,680
2,0.9,DRUSEN,0.024336283185840708,452,516
2,0.9,NORMAL,0.006276150627615063,1434,1576
3,0.7,CNV,0.0,1715,2228
3,0.7,DME,0.0,481,680
3,0.7,DRUSEN,0.0,190,516
3,0.7,NORMAL,0.0,1114,1576
3,0.8,CNV,0.0,1873,2228
3,0.8,DME,0.0,542,680
3,0.8,DRUSEN,0.01444043321299639,277,516
3,0.8,NORMAL,0.0,1308,1576
3,0.9,CNV,0.0029182879377431907,2056,2228
3,0.9,DME,0.006557377049180328,610,680
3,0.9,DRUSEN,0.021505376344086023,372,516
3,0.9,NORMAL,0.0013679890560875513,1462,1576
4,0.7,CNV,0.016309412861136997,2146,2228
4,0.7,DME,0.01791044776119403,670,680
4,0.7,DRUSEN,0.03665987780040733,491,516
4,0.7,NORMAL,0.009108653220559532,1537,1576
4,0.8,CNV,0.016309412861136997,2146,2228
4,0.8,DME,0.01791044776119403,670,680
4,0.8,DRUSEN,0.03665987780040733,491,516
4,0.8,NORMAL,0.009108653220559532,1537,1576
4,0.9,CNV,0.016309412861136997,2146,2228
4,0.9,DME,0.01791044776119403,670,680
4,0.9,DRUSEN,0.03665987780040733,491,516
4,0.9,NORMAL,0.009108653220559532,1537,1576
5,0.7,CNV,0.0006285355122564425,1591,2228
5,0.7,DME,0.002150537634408602,465,680
5,0.7,DRUSEN,0.013289036544850499,301,516
5,0.7,NORMAL,0.0,1143,1576
5,0.8,CNV,0.0033444816053511705,1794,2228
5,0.8,DME,0.0035211267605633804,568,680
5,0.8,DRUSEN,0.0196078431372549,357,516
5,0.8,NORMAL,0.00078064012490242,1281,1576
5,0.9,CNV,0.0054753608760577405,2009,2228
5,0.9,DME,0.003205128205128205,624,680
5,0.9,DRUSEN,0.01715686274509804,408,516
5,0.9,NORMAL,0.0027416038382453737,1459,1576
B2,0.7,CNV,0.0,1839,2228
B2,0.7,DME,0.006329113924050633,316,680
B2,0.7,DRUSEN,0.031055900621118012,161,516
B2,0.7,NORMAL,0.0,1260,1576
B2,0.8,CNV,0.000513347022587269,1948,2228
B2,0.8,DME,0.00437636761487965,457,680
B2,0.8,DRUSEN,0.029787234042553193,235,516
B2,0.8,NORMAL,0.0,1364,1576
B2,0.9,CNV,0.0024154589371980675,2070,2228
B2,0.9,DME,0.00505902192242833,593,680
B2,0.9,DRUSEN,0.031073446327683617,354,516
B2,0.9,NORMAL,0.0,1483,1576
