condition,ratio,class,deferral_rate,accepted_error_rate,n_class,n_accepted
2,5,CNV,0.0,0.01615798922800718,2228,2228
2,5,DME,0.0,0.027941176470588237,680,680
2,5,DRUSEN,0.0,0.07751937984496124,516,516
2,5,NORMAL,0.0,0.00951776649746193,1576,1576
2,10,CNV,0.08752244165170557,0.011805213969503197,2228,2033
2,10,DME,0.047058823529411764,0.009259259259259259,680,648
2,10,DRUSEN,0.0872093023255814,0.027600849256900213,516,471
2,10,NORMAL,0.05456852791878172,0.0087248322147651,1576,1490
2,20,CNV,0.14991023339317774,0.008447729672650475,2228,1894
2,20,DME,0.10147058823529412,0.004909983633387889,680,611
2,20,DRUSEN,0.16085271317829458,0.023094688221709007,516,433
2,20,NORMAL,0.12690355329949238,0.005813953488372093,1576,1376
2,50,CNV,0.26481149012567323,0.006105006105006105,2228,1638
2,50,DME,0.25882352941176473,0.001984126984126984,680,504
2,50,DRUSEN,0.29651162790697677,0.013774104683195593,516,363
2,50,NORMAL,0.24809644670050762,0.0033755274261603376,1576,1185
3,5,CNV,0.02244165170556553,0.011019283746556474,2228,2178
3,5,DME,0.03823529411764706,0.01529051987767584,680,654
3,5,DRUSEN,0.09496124031007752,0.057815845824411134,516,467
3,5,NORMAL,0.018401015228426396,0.004524886877828055,1576,1547
3,10,CNV,0.03321364452423698,0.009285051067780872,2228,2154
3,10,DME,0.047058823529411764,0.010802469135802469,680,648
3,10,DRUSEN,0.14728682170542637,0.04090909090909091,516,440
3,10,NORMAL,0.0266497461928934,0.003259452411994785,1576,1534
3,20,CNV,0.043536804308797125,0.007508212106992022,2228,2131
3,20,DME,0.06323529411764706,0.009419152276295133,680,637
3,20,DRUSEN,0.18023255813953487,0.03546099290780142,516,423
3,20,NORMAL,0.03680203045685279,0.0013175230566534915,1576,1518
3,50,CNV,0.057001795332136444,0.004283674440742504,2228,2101
3,50,DME,0.08823529411764706,0.0064516129032258064,680,620
3,50,DRUSEN,0.22674418604651161,0.03007518796992481,516,399
3,50,NORMAL,0.04758883248730964,0.0013324450366422385,1576,1501
4,5,CNV,0.03680430879712747,0.016309412861136997,2228,2146
4,5,DME,0.014705882352941176,0.01791044776119403,680,670
4,5,DRUSEN,0.04844961240310078,0.03665987780040733,516,491
4,5,NORMAL,0.024746192893401017,0.009108653220559532,1576,1537
4,10,CNV,0.03680430879712747,0.016309412861136997,2228,2146
4,10,DME,0.014705882352941176,0.01791044776119403,680,670
4,10,DRUSEN,0.04844961240310078,0.03665987780040733,516,491
4,10,NORMAL,0.024746192893401017,0.009108653220559532,1576,1537
4,20,CNV,0.03680430879712747,0.016309412861136997,2228,2146
4,20,DME,0.014705882352941176,0.01791044776119403,680,670
4,20,DRUSEN,0.04844961240310078,0.03665987780040733,516,491
4,20,NORMAL,0.024746192893401017,0.009108653220559532,1576,1537
4,50,CNV,0.03680430879712747,0.016309412861136997,2228,2146
4,50,DME,0.014705882352941176,0.01791044776119403,680,670
4,50,DRUSEN,0.04844961240310078,0.03665987780040733,516,491
4,50,NORMAL,0.024746192893401017,0.009108653220559532,1576,1537
5,5,CNV,0.02423698384201077,0.011039558417663294,2228,2174
5,5,DME,0.03676470588235294,0.013740458015267175,680,655
5,5,DRUSEN,0.09883720930232558,0.04946236559139785,516,465
5,5,NORMAL,0.017766497461928935,0.005813953488372093,1576,1548
5,10,CNV,0.05341113105924596,0.00995732574679943,2228,2109
5,10,DME,0.051470588235294115,0.007751937984496124,680,645
5,10,DRUSEN,0.15503875968992248,0.022935779816513763,516,436
5,10,NORMAL,0.037436548223350255,0.003955174686882004,1576,1517
5,20,CNV,0.06642728904847396,0.007692307692307693,2228,2080
5,20,DME,0.057352941176470586,0.0062402496099844,680,641
5,20,DRUSEN,0.17248062015503876,0.0234192037470726,516,427
5,20,NORMAL,0.04568527918781726,0.003324468085106383,1576,1504
5,50,CNV,0.18761220825852784,0.004972375690607734,2228,1810
5,50,DME,0.16029411764705884,0.0035026269702276708,680,571
5,50,DRUSEN,0.2558139534883721,0.018229166666666668,516,384
5,50,NORMAL,0.17258883248730963,0.0015337423312883436,1576,1304
B2,5,CNV,0.03007181328545781,0.007866728366496992,2228,2161
B2,5,DME,0.052941176470588235,0.009316770186335404,680,644
B2,5,DRUSEN,0.16279069767441862,0.03935185185185185,516,432
B2,5,NORMAL,0.021573604060913704,0.004539559014267186,1576,1542
B2,10,CNV,0.06238779174147217,0.0028721876495931067,2228,2089
B2,10,DME,0.10735294117647058,0.006589785831960461,680,607
B2,10,DRUSEN,0.2751937984496124,0.029411764705882353,516,374
B2,10,NORMAL,0.0532994923857868,0.0006702412868632708,1576,1492
B2,20,CNV,0.06642728904847396,0.0028846153846153848,2228,2080
B2,20,DME,0.12058823529411765,0.006688963210702341,680,598
B2,20,DRUSEN,0.29651162790697677,0.030303030303030304,516,363
B2,20,NORMAL,0.056472081218274114,0.0,1576,1487
B2,50,CNV,0.07899461400359066,0.0024366471734892786,2228,2052
B2,50,DME,0.17352941176470588,0.0035587188612099642,680,562
B2,50,DRUSEN,0.3682170542635659,0.03374233128834356,516,326
B2,50,NORMAL,0.06916243654822335,0.0,1576,1467
