condition,coverage,risk
2,0.0,0.0
2,0.01,0.0
2,0.02,0.0
2,0.03,0.0
2,0.04,0.0
2,0.05,0.0
2,0.06,0.0
2,0.07,0.0
2,0.08,0.0
2,0.09,0.0
2,0.1,0.0
2,0.11,0.0
2,0.12,0.0
2,0.13,0.0
2,0.14,0.0
2,0.15,0.0
2,0.16,0.0
2,0.17,0.0
2,0.18,0.0
2,0.19,0.0
2,0.2,0.0
2,0.21,0.0
2,0.22,0.0
2,0.23,0.0
2,0.24,0.0
2,0.25,0.0
2,0.26,0.0
2,0.27,0.0
2,0.28,0.0
2,0.29,0.0
2,0.3,0.0
2,0.31,0.0
2,0.32,0.0
2,0.33,0.0
2,0.34,0.0
2,0.35000000000000003,1.585127105404121e-16
2,0.36,0.0005555555555555314
2,0.37,0.000540540540540535
2,0.38,0.000526315789473708
2,0.39,0.0005128205128205332
2,0.4,0.0004999999999999449
2,0.41000000000000003,0.0009756097560975617
2,0.42,0.0009523809523809268
2,0.43,0.0009302325581395099
2,0.44,0.0009090909090908594
2,0.45,0.000888888888888939
2,0.46,0.0008695652173913437
2,0.47000000000000003,0.0008510638297872796
2,0.48,0.0008333333333333526
2,0.49,0.0008163265306122547
2,0.5,0.0011999999999999789
2,0.51,0.0011764705882353343
2,0.52,0.001153846153846172
2,0.53,0.0011320754716981352
2,0.54,0.0011111111111110628
2,0.55,0.0010909090909091423
2,0.56,0.001071428571428612
2,0.5700000000000001,0.0010526315789474159
2,0.58,0.001034482758620725
2,0.59,0.0013559322033898091
2,0.6,0.0013333333333332975
2,0.61,0.0013114754098361159
2,0.62,0.001935483870967758
2,0.63,0.0025396825396825085
2,0.64,0.0024999999999999467
2,0.65,0.002461538461538515
2,0.66,0.00303030303030305
2,0.67,0.0035820895522388208
2,0.68,0.004411764705882337
2,0.6900000000000001,0.004927536231884021
2,0.7000000000000001,0.004857142857142892
2,0.71,0.0053521126760562865
2,0.72,0.005277777777777826
2,0.73,0.005479452054794498
2,0.74,0.005675675675675729
2,0.75,0.006133333333333324
2,0.76,0.0060526315789474205
2,0.77,0.006233766233766258
2,0.78,0.0064102564102563875
2,0.79,0.00708860759493668
2,0.8,0.007499999999999951
2,0.81,0.007654320987654284
2,0.8200000000000001,0.008048780487804883
2,0.8300000000000001,0.00795180722891564
2,0.84,0.008095238095238044
2,0.85,0.008235294117647007
2,0.86,0.008604651162790744
2,0.87,0.008505747126436813
2,0.88,0.008636363636363664
2,0.89,0.009438202247191052
2,0.9,0.009777777777777774
2,0.91,0.009670329670329658
2,0.92,0.011304347826086913
2,0.93,0.012473118279569873
2,0.9400000000000001,0.013617021276595696
2,0.9500000000000001,0.014736842105263158
2,0.96,0.016458333333333353
2,0.97,0.017525773195876337
2,0.98,0.0189795918367347
2,0.99,0.021010101010101034
2,1.0,0.02200000000000002
3,0.0,0.0
3,0.01,0.0
3,0.02,0.0
