condition,ratio,coverage,risk
2,5,0.0,0.0
2,5,0.01,0.040000000000000036
2,5,0.02,0.020000000000000018
2,5,0.03,0.020000000000000018
2,5,0.04,0.015000000000000013
2,5,0.05,0.01200000000000001
2,5,0.06,0.020000000000000018
2,5,0.07,0.017142857142857126
2,5,0.08,0.015000000000000013
2,5,0.09,0.013333333333333308
2,5,0.1,0.01200000000000001
2,5,0.11,0.010909090909090868
2,5,0.12,0.010000000000000009
2,5,0.13,0.009230769230769265
2,5,0.14,0.008571428571428563
2,5,0.15,0.008000000000000007
2,5,0.16,0.008750000000000036
2,5,0.17,0.008235294117647007
2,5,0.18,0.007777777777777772
2,5,0.19,0.008421052631578996
2,5,0.2,0.008000000000000007
2,5,0.21,0.007619047619047636
2,5,0.22,0.008181818181818179
2,5,0.23,0.00782608695652176
2,5,0.24,0.008333333333333304
2,5,0.25,0.00880000000000003
2,5,0.26,0.00846153846153841
2,5,0.27,0.008148148148148127
2,5,0.28,0.00928571428571423
2,5,0.29,0.008965517241379284
2,5,0.3,0.008666666666666711
2,5,0.31,0.008387096774193581
2,5,0.32,0.008125000000000049
2,5,0.33,0.00787878787878793
2,5,0.34,0.007647058823529451
2,5,0.35000000000000003,0.00742857142857145
2,5,0.36,0.007222222222222241
2,5,0.37,0.007027027027027066
2,5,0.38,0.00736842105263158
2,5,0.39,0.007179487179487132
2,5,0.4,0.007499999999999951
2,5,0.41000000000000003,0.007317073170731713
2,5,0.42,0.0071428571428571175
2,5,0.43,0.006976744186046546
2,5,0.44,0.007727272727272694
2,5,0.45,0.007555555555555538
2,5,0.46,0.00782608695652176
2,5,0.47000000000000003,0.008085106382978767
2,5,0.48,0.008333333333333304
2,5,0.49,0.008571428571428563
2,5,0.5,0.009199999999999986
2,5,0.51,0.009019607843137267
2,5,0.52,0.009615384615384581
2,5,0.53,0.009433962264150941
2,5,0.54,0.009629629629629655
2,5,0.55,0.009454545454545493
2,5,0.56,0.009642857142857175
2,5,0.5700000000000001,0.009473684210526299
2,5,0.58,0.009310344827586192
2,5,0.59,0.009152542372881323
2,5,0.6,0.009333333333333305
2,5,0.61,0.009180327868852478
2,5,0.62,0.00935483870967746
2,5,0.63,0.009206349206349218
2,5,0.64,0.009062499999999973
2,5,0.65,0.009230769230769265
2,5,0.66,0.009696969696969648
2,5,0.67,0.009850746268656674
2,5,0.68,0.010000000000000009
2,5,0.6900000000000001,0.010724637681159386
2,5,0.7000000000000001,0.010571428571428563
2,5,0.71,0.01042253521126757
2,5,0.72,0.010833333333333361
2,5,0.73,0.010958904109588996
2,5,0.74,0.011351351351351346
2,5,0.75,0.011733333333333373
2,5,0.76,0.01210526315789473
2,5,0.77,0.012207792207792223
2,5,0.78,0.012820512820512775
2,5,0.79,0.013164556962025342
2,5,0.8,0.013499999999999956
2,5,0.81,0.01382716049382715
2,5,0.8200000000000001,0.013902439024390255
2,5,0.8300000000000001,0.014216867469879489
2,5,0.84,0.014523809523809494
2,5,0.85,0.01482352941176468
2,5,0.86,0.015116279069767424
2,5,0.87,0.015632183908045993
2,5,0.88,0.01568181818181813
2,5,0.89,0.01573033707865168
2,5,0.9,0.01622222222222225
2,5,0.91,0.016263736263736228
2,5,0.92,0.01673913043478259
2,5,0.93,0.016559139784946275
2,5,0.9400000000000001,0.01765957446808508
2,5,0.9500000000000001,0.018105263157894732
2,5,0.96,0.01854166666666668
2,5,0.97,0.018969072164948475
2,5,0.98,0.020000000000000018
2,5,0.99,0.021010101010101034
2,5,1.0,0.02200000000000002
2,10,0.0,0.0
2,10,0.01,0.0
2,10,0.02,0.0
2,10,0.03,0.0
2,10,0.04,0.0
2,10,0.05,0.0
2,10,0.06,0.0
2,10,0.07,0.0
2,10,0.08,0.0
2,10,0.09,0.0
2,10,0.1,0.0
2,10,0.11,0.0
2,10,0.12,0.0
2,10,0.13,0.0
2,10,0.14,0.0
2,10,0.15,0.0
2,10,0.16,0.0
2,10,0.17,0.0
2,10,0.18,0.0
2,10,0.19,0.0
2,10,0.2,0.0
2,10,0.21,0.0
2,10,0.22,0.0
2,10,0.23,0.0
2,10,0.24,0.0
2,10,0.25,0.0
2,10,0.26,0.0
2,10,0.27,0.0
2,10,0.28,0.0
2,10,0.29,0.0
2,10,0.3,0.0
2,10,0.31,0.0
2,10,0.32,0.0
2,10,0.33,0.0
2,10,0.34,0.0
2,10,0.35000000000000003,0.000571428571428556
2,10,0.36,0.0005555555555555314
2,10,0.37,0.000540540540540535
2,10,0.38,0.000526315789473708
2,10,0.39,0.0005128205128205332
2,10,0.4,0.0004999999999999449
2,10,0.41000000000000003,0.0009756097560975617
2,10,0.42,0.0009523809523809268
2,10,0.43,0.0009302325581395099
2,10,0.44,0.0009090909090908594
2,10,0.45,0.000888888888888939
2,10,0.46,0.0008695652173913437
2,10,0.47000000000000003,0.0008510638297872796
2,10,0.48,0.0008333333333333526
2,10,0.49,0.0008163265306122547
2,10,0.5,0.0008000000000000229
2,10,0.51,0.0011764705882353343
2,10,0.52,0.001153846153846172
2,10,0.53,0.0011320754716981352
2,10,0.54,0.0011111111111110628
2,10,0.55,0.0010909090909091423
2,10,0.56,0.0014285714285714457
2,10,0.5700000000000001,0.001403508771929851
2,10,0.58,0.0013793103448276334
2,10,0.59,0.0013559322033898091
2,10,0.6,0.0013333333333332975
2,10,0.61,0.0016393442622950616
2,10,0.62,0.002258064516128977
2,10,0.63,0.0025396825396825085
2,10,0.64,0.0024999999999999467
2,10,0.65,0.002461538461538515
2,10,0.66,0.00303030303030305
2,10,0.67,0.0032835820895522616
2,10,0.68,0.004411764705882337
2,10,0.6900000000000001,0.004927536231884021
2,10,0.7000000000000001,0.004857142857142892
2,10,0.71,0.005070422535211283
2,10,0.72,0.005277777777777826
2,10,0.73,0.005479452054794498
2,10,0.74,0.00540540540540535
2,10,0.75,0.006133333333333324
2,10,0.76,0.0060526315789474205
2,10,0.77,0.006233766233766258
2,10,0.78,0.0064102564102563875
2,10,0.79,0.0068354430379746756
2,10,0.8,0.007249999999999979
2,10,0.81,0.007654320987654284
2,10,0.8200000000000001,0.008048780487804883
2,10,0.8300000000000001,0.00795180722891564
2,10,0.84,0.008095238095238044
2,10,0.85,0.008235294117647007
2,10,0.86,0.008604651162790744
2,10,0.87,0.008505747126436813
2,10,0.88,0.008636363636363664
2,10,0.89,0.008988764044943864
2,10,0.9,0.00955555555555554
2,10,0.91,0.009670329670329658
2,10,0.92,0.011304347826086913
2,10,0.93,0.012473118279569873
2,10,0.9400000000000001,0.013617021276595696
2,10,0.9500000000000001,0.014736842105263158
2,10,0.96,0.016458333333333353
2,10,0.97,0.017525773195876337
2,10,0.98,0.0189795918367347
2,10,0.99,0.021010101010101034
2,10,1.0,0.02200000000000002
2,20,0.0,0.0
2,20,0.01,0.0
2,20,0.02,0.0
2,20,0.03,0.0
2,20,0.04,0.0
2,20,0.05,0.0
2,20,0.06,0.0
2,20,0.07,0.0
2,20,0.08,0.0
2,20,0.09,0.0
2,20,0.1,0.0
2,20,0.11,0.0
2,20,0.12,0.0
2,20,0.13,0.0
2,20,0.14,0.0
2,20,0.15,0.0
2,20,0.16,0.0
2,20,0.17,0.0
2,20,0.18,0.0
2,20,0.19,0.0
2,20,0.2,0.0
2,20,0.21,0.0
2,20,0.22,0.0
2,20,0.23,0.0
2,20,0.24,0.0
2,20,0.25,0.0
2,20,0.26,0.0
2,20,0.27,0.0
2,20,0.28,0.0
2,20,0.29,0.0
2,20,0.3,0.0
2,20,0.31,0.0
2,20,0.32,0.0
2,20,0.33,0.0
2,20,0.34,0.0
2,20,0.35000000000000003,1.585127105404121e-16
2,20,0.36,0.0005555555555555314
2,20,0.37,0.000540540540540535
2,20,0.38,0.000526315789473708
2,20,0.39,0.0005128205128205332
2,20,0.4,0.0004999999999999449
2,20,0.41000000000000003,0.0009756097560975617
2,20,0.42,0.0009523809523809268
2,20,0.43,0.0009302325581395099
