positive,negative,signal,auroc
RETOUCH-Spectralis,RETOUCH-Topcon,ood_cosine,0.3212583928958198
RETOUCH-Spectralis,RETOUCH-Cirrus,ood_cosine,0.42894394856537055
RETOUCH-Spectralis,OCT5k,ood_cosine,0.4055426040075163
RETOUCH-Topcon,RETOUCH-Spectralis,ood_cosine,0.6787416071041802
RETOUCH-Topcon,RETOUCH-Cirrus,ood_cosine,0.6667659374774384
RETOUCH-Topcon,OCT5k,ood_cosine,0.6025168687205724
RETOUCH-Cirrus,RETOUCH-Spectralis,ood_cosine,0.5710560514346295
RETOUCH-Cirrus,RETOUCH-Topcon,ood_cosine,0.33323406252256155
RETOUCH-Cirrus,OCT5k,ood_cosine,0.4406028835853397
OCT5k,RETOUCH-Spectralis,ood_cosine,0.5944573959924837
OCT5k,RETOUCH-Topcon,ood_cosine,0.3974831312794276
OCT5k,RETOUCH-Cirrus,ood_cosine,0.5593971164146604
RETOUCH-Spectralis,RETOUCH-Topcon,ood_maha_combined,0.0
RETOUCH-Spectralis,RETOUCH-Cirrus,ood_maha_combined,0.0033087103724222834
RETOUCH-Spectralis,OCT5k,ood_maha_combined,0.045413834887519086
RETOUCH-Topcon,RETOUCH-Spectralis,ood_maha_combined,1.0
RETOUCH-Topcon,RETOUCH-Cirrus,ood_maha_combined,1.0
RETOUCH-Topcon,OCT5k,ood_maha_combined,0.9991774181588997
RETOUCH-Cirrus,RETOUCH-Spectralis,ood_maha_combined,0.9966912896275777
RETOUCH-Cirrus,RETOUCH-Topcon,ood_maha_combined,0.0
RETOUCH-Cirrus,OCT5k,ood_maha_combined,0.6139406950810459
OCT5k,RETOUCH-Spectralis,ood_maha_combined,0.954586165112481
OCT5k,RETOUCH-Topcon,ood_maha_combined,0.0008225818411003597
OCT5k,RETOUCH-Cirrus,ood_maha_combined,0.38605930491895407
