source,condition,deferral_rate,n
Kermany-test,2,0.04855371900826446,968
Kermany-test,3,0.023760330578512397,968
Kermany-test,4,0.005165289256198347,968
Kermany-test,5,0.02169421487603306,968
Kermany-test,B2,0.07644628099173553,968
RETOUCH-Spectralis,2,0.3391812865497076,342
RETOUCH-Spectralis,3,0.16374269005847952,342
RETOUCH-Spectralis,4,0.13157894736842105,342
RETOUCH-Spectralis,5,0.20175438596491227,342
RETOUCH-Spectralis,B2,0.30116959064327486,342
RETOUCH-Topcon,2,0.0,324
RETOUCH-Topcon,3,0.3425925925925926,324
RETOUCH-Topcon,4,0.05555555555555555,324
RETOUCH-Topcon,5,0.018518518518518517,324
RETOUCH-Topcon,B2,0.4166666666666667,324
RETOUCH-Cirrus,2,0.15497076023391812,342
RETOUCH-Cirrus,3,0.14619883040935672,342
RETOUCH-Cirrus,4,0.038011695906432746,342
RETOUCH-Cirrus,5,0.1023391812865497,342
RETOUCH-Cirrus,B2,0.2631578947368421,342
OCT5k,2,0.30180180180180183,1332
OCT5k,3,0.3430930930930931,1332
OCT5k,4,0.15840840840840842,1332
OCT5k,5,0.25375375375375375,1332
OCT5k,B2,0.4692192192192192,1332
