source,condition,coverage,risk
Kermany-test,2,0.7,0.0
Kermany-test,2,0.8,0.0
Kermany-test,2,0.9,0.0
Kermany-test,3,0.7,0.0
Kermany-test,3,0.8,0.0
Kermany-test,3,0.9,0.0
Kermany-test,4,0.7,0.004427393105972465
Kermany-test,4,0.8,0.0038739684921230474
Kermany-test,4,0.9,0.003443526896217608
Kermany-test,5,0.7,0.0
Kermany-test,5,0.8,0.0
Kermany-test,5,0.9,0.0
Kermany-test,B2,0.7,0.0
Kermany-test,B2,0.8,0.0
Kermany-test,B2,0.9,0.0
RETOUCH-Spectralis,2,0.7,0.004177126917712658
RETOUCH-Spectralis,2,0.8,0.010964947461297836
RETOUCH-Spectralis,2,0.9,0.012995473581792804
RETOUCH-Spectralis,3,0.7,0.004177126917712658
RETOUCH-Spectralis,3,0.8,0.0036549824870993008
RETOUCH-Spectralis,3,0.9,0.006497736790896358
RETOUCH-Spectralis,4,0.7,0.012531380753138041
RETOUCH-Spectralis,4,0.8,0.010964947461297836
RETOUCH-Spectralis,4,0.9,0.016244341977241027
RETOUCH-Spectralis,5,0.7,0.004177126917712658
RETOUCH-Spectralis,5,0.8,0.0036549824870993008
RETOUCH-Spectralis,5,0.9,0.006497736790896358
RETOUCH-Spectralis,B2,0.7,0.004177126917712658
RETOUCH-Spectralis,B2,0.8,0.007309964974198535
RETOUCH-Spectralis,B2,0.9,0.00974660518634458
RETOUCH-Topcon,2,0.7,0.08377451171494286
RETOUCH-Topcon,2,0.8,0.08487674487674492
RETOUCH-Topcon,2,0.9,0.09602221908393356
RETOUCH-Topcon,3,0.7,0.09700206619624964
RETOUCH-Topcon,3,0.8,0.08873477873477877
RETOUCH-Topcon,3,0.9,0.09945158405121683
RETOUCH-Topcon,4,0.7,0.13668472964016992
RETOUCH-Topcon,4,0.8,0.12345708345708344
RETOUCH-Topcon,4,0.9,0.10973967895306691
RETOUCH-Topcon,5,0.7,0.09700206619624964
RETOUCH-Topcon,5,0.8,0.08873477873477877
RETOUCH-Topcon,5,0.9,0.09945158405121683
RETOUCH-Topcon,B2,0.7,0.09259288136914744
RETOUCH-Topcon,B2,0.8,0.09259281259281262
RETOUCH-Topcon,B2,0.9,0.0925928541166502
RETOUCH-Cirrus,2,0.7,0.029239888423988853
RETOUCH-Cirrus,2,0.8,0.02558487740969495
RETOUCH-Cirrus,2,0.9,0.03573755234993019
RETOUCH-Cirrus,3,0.7,0.03759414225941424
RETOUCH-Cirrus,3,0.8,0.03289484238389349
RETOUCH-Cirrus,3,0.9,0.03573755234993019
RETOUCH-Cirrus,4,0.7,0.058479776847977706
RETOUCH-Cirrus,4,0.8,0.06213470228068767
RETOUCH-Cirrus,4,0.9,0.05523076272261944
RETOUCH-Cirrus,5,0.7,0.016708507670850813
RETOUCH-Cirrus,5,0.8,0.02558487740969495
RETOUCH-Cirrus,5,0.9,0.03573755234993019
RETOUCH-Cirrus,B2,0.7,0.03759414225941424
RETOUCH-Cirrus,B2,0.8,0.03289484238389349
RETOUCH-Cirrus,B2,0.9,0.03898642074537841
OCT5k,2,0.7,0.13191766832728422
OCT5k,2,0.8,0.1600974200424561
OCT5k,2,0.9,0.18351687062535418
OCT5k,3,0.7,0.12012015327362467
OCT5k,3,0.8,0.1473348659813792
OCT5k,3,0.9,0.1791790877484159
OCT5k,4,0.7,0.15658519980311786
OCT5k,4,0.8,0.15071303367421543
OCT5k,4,0.9,0.1816815905296707
OCT5k,5,0.7,0.11368514506253764
OCT5k,5,0.8,0.13663645412185432
OCT5k,5,0.9,0.1751751946878381
OCT5k,B2,0.7,0.11840387508107601
OCT5k,B2,0.8,0.15258991094786356
OCT5k,B2,0.9,0.1826827030316026
