source,condition,n,n_errors,n_tied,base_error,aurc,e_aurc,random_ref,ratio_vs_random,aurc_reversed
Kermany-test,2,968,3,0,0.0030991735537190257,0.02844442636370388,0.023637019106665557,3.0991735537190257,0.009178068240021734,15.22133777545889
Kermany-test,3,968,3,222,0.0030991735537190257,0.03169870785150075,0.026891300594462427,3.0991735537190257,0.010228116400084185,15.028559651379114
Kermany-test,4,968,3,966,0.0030991735537190257,3.1120049219188144,3.107197514661776,3.0991735537190257,1.0041402548057985,3.014386950487378
Kermany-test,5,968,3,0,0.0030991735537190257,0.03276356460914483,0.027956157352106503,3.0991735537190257,0.010571710180550671,14.654858799889006
Kermany-test,B2,968,3,730,0.0030991735537190257,0.01122669275577576,0.006419285498737435,3.0991735537190257,0.003622479529196958,17.500698680852853
RETOUCH-Spectralis,2,342,5,0,0.014619883040935644,3.363096188499879,3.2557010462541447,14.619883040935644,0.23003577929339217,25.22073810040331
RETOUCH-Spectralis,3,342,5,16,0.014619883040935644,3.0751481885048495,2.9677530462591153,14.619883040935644,0.21034013609373212,38.87937333134155
RETOUCH-Spectralis,4,342,5,339,0.014619883040935644,10.427715643962044,10.32032050171631,14.619883040935644,0.7132557500470051,22.17645469175472
RETOUCH-Spectralis,5,342,5,0,0.014619883040935644,2.2089819952456478,2.1015868529999135,14.619883040935644,0.1510943684748026,38.20276064526451
RETOUCH-Spectralis,B2,342,5,135,0.014619883040935644,4.703729043589307,4.596333901343574,14.619883040935644,0.32173506658150924,33.39414185317348
RETOUCH-Topcon,2,324,35,0,0.10802469135802473,63.579723409110585,57.5228197038335,108.02469135802473,0.5885665824157664,147.32932720032053
RETOUCH-Topcon,3,324,35,22,0.10802469135802473,66.83182321257347,60.77491950729638,108.02469135802473,0.6186717348821085,140.3215501852495
RETOUCH-Topcon,4,324,35,322,0.10802469135802473,104.35004057718429,98.2931368719072,108.02469135802473,0.9659832327716485,117.48159047006138
RETOUCH-Topcon,5,324,35,0,0.10802469135802473,145.37623893043812,139.31933522516104,108.02469135802473,1.3457686118131982,107.79407267658773
RETOUCH-Topcon,B2,324,35,135,0.10802469135802473,62.450439687902445,56.39353598262536,108.02469135802473,0.5781126416822967,153.4680342211877
RETOUCH-Cirrus,2,342,17,0,0.049707602339181256,30.88405777182629,29.6276404858085,49.70760233918126,0.6213145739979175,100.48573879943486
RETOUCH-Cirrus,3,342,17,21,0.049707602339181256,36.87715418961258,35.620736903594796,49.70760233918126,0.7418815725204418,97.67534967303723
RETOUCH-Cirrus,4,342,17,339,0.049707602339181256,51.482836288356594,50.22641900233881,49.70760233918126,1.035713530036351,43.28420237212072
RETOUCH-Cirrus,5,342,17,0,0.049707602339181256,20.128129538126576,18.871712252108786,49.70760233918126,0.40493060600231134,111.30070572531675
RETOUCH-Cirrus,B2,342,17,146,0.049707602339181256,41.0747691223579,39.81835183634011,49.70760233918126,0.8263277082262594,79.38919486346524
OCT5k,2,1332,293,0,0.21996996996996998,103.41554919580899,77.22287017264827,219.96996996996998,0.47013485163418967,380.9438698216431
OCT5k,3,1332,293,25,0.21996996996996998,86.96126654748565,60.76858752432493,219.96996996996998,0.3953324472397641,399.2316405245271
OCT5k,4,1332,293,1329,0.21996996996996998,158.4338344930705,132.24115546990976,219.96996996996998,0.7202521076613306,356.7305663054614
OCT5k,5,1332,293,0,0.21996996996996998,103.1164563871943,76.92377736403358,219.96996996996998,0.4687751532687468,400.6520932238804
OCT5k,B2,1332,293,442,0.21996996996996998,106.75207532874923,80.5593963055885,219.96996996996998,0.48530294995868245,377.05177135096886
