dataset,class,n_images,n_patients,width_median,height_median,bitdepth,n_channels,n_distinct_modes,p1,p50,p99,mean_intensity,n_intensity_sample
NEH,CNV,5248,161,768.0,496.0,8,3,1,0.0,10.229813664596273,201.76229813664585,33.78988546571328,161
NEH,DRUSEN,5878,160,768.0,496.0,8,3,1,0.0,7.840236686390533,204.0532544378698,31.309027819200548,169
NEH,NORMAL,5696,120,768.0,496.0,8,3,1,0.0,9.958823529411765,208.50588235294117,33.69048449174277,170
OCTDL,AMD,1231,421,882.0,322.0,8,3|4,2,9.003378378378379,44.00337837837838,206.83523648648642,61.749186998169655,296
OCTDL,DME,147,107,880.0,318.0,8,3|4,2,14.439024390243903,53.0,205.9268292682927,66.85651525170465,41
OCTDL,ERM,155,71,882.0,322.0,8,3|4,2,10.870967741935484,48.516129032258064,206.96774193548387,63.20259412914309,31
OCTDL,NO,332,110,882.0,321.0,8,3|4,2,11.166666666666666,40.53846153846154,208.2948717948718,57.94801523451988,78
OCTDL,RVO,101,50,912.0,322.0,8,3|4,2,7.214285714285714,41.607142857142854,205.07142857142858,58.92594416609296,28
OCTDL,VID,76,51,881.0,315.0,8,3|4,2,8.333333333333334,33.0,197.94444444444446,51.9668878664512,18
OCTDL,RAO,22,11,950.0,398.5,8,3|4,2,16.25,59.875,211.5,75.00412322063502,8
Kermany-train,CNV,37205,NA,512.0,496.0,8,1,1,0.0,35.7972972972973,215.50328828828822,53.51671254679894,222
Kermany-train,DME,11348,NA,512.0,512.0,8,1,1,0.027777777777777776,34.861111111111114,224.62124999999975,54.68669622744853,72
Kermany-train,DRUSEN,8616,NA,512.0,496.0,8,1,1,0.0625,29.770833333333332,214.95833333333334,47.16099233866593,48
Kermany-train,NORMAL,26315,NA,512.0,496.0,8,1,1,0.08860759493670886,30.981012658227847,229.04430379746836,48.7374914516409,158
RETOUCH-Spectralis,all,342,38,512.0,496.0,8,1,1,0.0,29.538011695906434,170.6738888888888,40.33495632618514,342
RETOUCH-Cirrus,all,342,38,512.0,1024.0,8,1,1,0.23391812865497075,30.394736842105264,111.60309941520471,35.728954817119394,342
RETOUCH-Topcon,all,324,36,512.0,885.0,8,1,1,34.08024691358025,59.98148148148148,133.92783950617283,64.94803547537852,324
OCT5k,DRUSEN,432,48,496.0,512.0,8,1,1,0.0,16.732142857142858,173.8095238095238,34.046399258615054,168
OCT5k,DME,450,50,496.0,512.0,8,1,1,0.31213872832369943,19.61849710982659,166.09248554913296,35.64324069160946,173
OCT5k,NORMAL,450,50,496.0,512.0,8,1,1,0.0,27.641509433962263,179.75471698113208,39.075234417597066,159
