,ood_cosine,ood_cosine,ood_maha_combined,ood_maha_combined,softmax_confidence,softmax_confidence,mutual_info,mutual_info,cp_setsize,cp_setsize
,mean,std,mean,std,mean,std,mean,std,mean,std
source,,,,,,,,,,
Kermany-test,0.79309997678719,0.10872151557047152,0.18863761866515497,0.55158289487664,0.9958637321797521,0.039842924431019736,0.002072274387319464,0.013295672066685997,1.0051652892561984,0.0717211476006419
RETOUCH-Spectralis,0.5970539051345028,0.21552396592485404,-0.5525830146631578,0.5538749871841732,0.9811953694152047,0.07357812239029844,0.014660654211027841,0.04074104524115176,1.1461988304093567,0.3930856147539456
RETOUCH-Cirrus,0.5827926205146199,0.16851301472377725,-3.710973401169591,1.1958514408194212,0.9801353585672515,0.0727603627995735,0.01659591019516063,0.04946776738243704,1.043859649122807,0.2319249124061446
RETOUCH-Topcon,0.4912608233641975,0.16482506665304347,-23.060903787037038,2.090203397088581,0.9566618688888889,0.10633916250631198,0.04838956173093552,0.08543090637459311,1.0555555555555556,0.22941573387056163
Rasti,0.5536906581276276,0.16908423181687854,-3.3535600007259765,2.3415851823041995,0.9618427296321321,0.09673111222570181,0.036860629732528086,0.06534751401828263,1.1711711711711712,0.4092956080824983
NEH,0.3789088824937898,0.237129515353125,-5.899104060001785,6.91569267164501,0.947767784848539,0.11824414932814349,0.048969683539837855,0.0733269104816514,1.3232756055466286,0.5083499258441398
OCTDL-in-label,0.5684945841609439,0.20695802528141122,-6.807310488303693,4.332690504958432,0.9858251098221614,0.058018047545445726,0.022567992584823,0.05681714348391634,1.0807113543091655,0.28476735006477594
OCTDL-ambiguous,0.6374891664516129,0.18200864170997885,-6.911051394354839,4.559076458666318,0.9802723184677419,0.06957398348756662,0.02633836509410928,0.06760032331500877,1.092741935483871,0.2906570490760808
OCTDL-novel-class,0.4082674398841808,0.1508338186612628,-6.655322336723164,4.500350349542582,0.9474504647457628,0.11380572067051946,0.07362970985167853,0.09332021120199765,1.307909604519774,0.5144866059735556
