positive,negative,signal,auroc
RETOUCH-Spectralis,Kermany-test,ood_cosine,0.8034018413803102
RETOUCH-Cirrus,Kermany-test,ood_cosine,0.8763200183654729
RETOUCH-Topcon,Kermany-test,ood_cosine,0.9361640393837364
Rasti,Kermany-test,ood_cosine,0.8844029980393617
NEH,Kermany-test,ood_cosine,0.9248644538091634
OCTDL-in-label,Kermany-test,ood_cosine,0.8300217069337825
OCTDL-ambiguous,Kermany-test,ood_cosine,0.7749933351106371
OCTDL-novel-class,Kermany-test,ood_cosine,0.9798524536583089
RETOUCH-Spectralis,Kermany-test,ood_maha_combined,0.8534115074186844
RETOUCH-Cirrus,Kermany-test,ood_maha_combined,0.9988008071142042
RETOUCH-Topcon,Kermany-test,ood_maha_combined,1.0
Rasti,Kermany-test,ood_maha_combined,0.990335635221999
NEH,Kermany-test,ood_maha_combined,0.99821165346802
OCTDL-in-label,Kermany-test,ood_maha_combined,0.999597941232999
OCTDL-ambiguous,Kermany-test,ood_maha_combined,0.9997875566515596
OCTDL-novel-class,Kermany-test,ood_maha_combined,0.9990924265770182
RETOUCH-Spectralis,Kermany-test,softmax_confidence,0.6986959910105843
RETOUCH-Cirrus,Kermany-test,softmax_confidence,0.6461323763955342
RETOUCH-Topcon,Kermany-test,softmax_confidence,0.6746888072645648
Rasti,Kermany-test,softmax_confidence,0.7899115541160995
NEH,Kermany-test,softmax_confidence,0.803950974417693
OCTDL-in-label,Kermany-test,softmax_confidence,0.5838027551977932
OCTDL-ambiguous,Kermany-test,softmax_confidence,0.5276155525193281
OCTDL-novel-class,Kermany-test,softmax_confidence,0.8887361675304664
RETOUCH-Spectralis,Kermany-test,mutual_info,0.6930700546131168
RETOUCH-Cirrus,Kermany-test,mutual_info,0.6876087429317094
RETOUCH-Topcon,Kermany-test,mutual_info,0.7208607540046935
Rasti,Kermany-test,mutual_info,0.8130591852182761
NEH,Kermany-test,mutual_info,0.8497351786354561
OCTDL-in-label,Kermany-test,mutual_info,0.6540478626584211
OCTDL-ambiguous,Kermany-test,mutual_info,0.583406924820048
OCTDL-novel-class,Kermany-test,mutual_info,0.9372665405985899
RETOUCH-Spectralis,Kermany-test,cp_setsize,0.5632445870185104
RETOUCH-Cirrus,Kermany-test,cp_setsize,0.5164383065100768
RETOUCH-Topcon,Kermany-test,cp_setsize,0.5251951331496787
Rasti,Kermany-test,cp_setsize,0.5766545212567941
NEH,Kermany-test,cp_setsize,0.6496437447464861
OCTDL-in-label,Kermany-test,cp_setsize,0.5367558733083855
OCTDL-ambiguous,Kermany-test,cp_setsize,0.5437883231138363
OCTDL-novel-class,Kermany-test,cp_setsize,0.6401383830601859
