source,condition,n,base_error,aurc,e_aurc,risk_definition
Kermany-test,2,968,0.0030991735537190257,0.02844442636370388,0.023637019106665557,four_class_accuracy
Kermany-test,3,968,0.0030991735537190257,0.03169870785150075,0.026891300594462427,four_class_accuracy
Kermany-test,4,968,0.0030991735537190257,3.1120049219188144,3.107197514661776,four_class_accuracy
Kermany-test,5,968,0.0030991735537190257,0.03276356460914483,0.027956157352106503,four_class_accuracy
Kermany-test,B2,968,0.0030991735537190257,0.01122669275577576,0.006419285498737435,four_class_accuracy
RETOUCH-Spectralis,2,342,0.014619883040935644,3.363096188499879,3.2557010462541447,missed_disease
RETOUCH-Spectralis,3,342,0.014619883040935644,3.0751481885048495,2.9677530462591153,missed_disease
RETOUCH-Spectralis,4,342,0.014619883040935644,10.427715643962044,10.32032050171631,missed_disease
RETOUCH-Spectralis,5,342,0.014619883040935644,2.2089819952456478,2.1015868529999135,missed_disease
RETOUCH-Spectralis,B2,342,0.014619883040935644,4.703729043589307,4.596333901343574,missed_disease
RETOUCH-Cirrus,2,342,0.049707602339181256,30.88405777182629,29.6276404858085,missed_disease
RETOUCH-Cirrus,3,342,0.049707602339181256,36.87715418961258,35.620736903594796,missed_disease
RETOUCH-Cirrus,4,342,0.049707602339181256,51.482836288356594,50.22641900233881,missed_disease
RETOUCH-Cirrus,5,342,0.049707602339181256,20.128129538126576,18.871712252108786,missed_disease
RETOUCH-Cirrus,B2,342,0.049707602339181256,41.0747691223579,39.81835183634011,missed_disease
RETOUCH-Topcon,2,324,0.10802469135802473,63.579723409110585,57.5228197038335,missed_disease
RETOUCH-Topcon,3,324,0.10802469135802473,66.83182321257347,60.77491950729638,missed_disease
RETOUCH-Topcon,4,324,0.10802469135802473,104.35004057718429,98.2931368719072,missed_disease
RETOUCH-Topcon,5,324,0.10802469135802473,145.37623893043812,139.31933522516104,missed_disease
RETOUCH-Topcon,B2,324,0.10802469135802473,62.450439687902445,56.39353598262536,missed_disease
Rasti,2,1332,0.21996996996996998,103.41554919580899,77.22287017264827,four_class_accuracy
Rasti,3,1332,0.21996996996996998,86.96126654748565,60.76858752432493,four_class_accuracy
Rasti,4,1332,0.21996996996996998,158.4338344930705,132.24115546990976,four_class_accuracy
Rasti,5,1332,0.21996996996996998,103.1164563871943,76.92377736403358,four_class_accuracy
Rasti,B2,1332,0.21996996996996998,106.75207532874923,80.5593963055885,four_class_accuracy
NEH,2,16803,0.19264417068380646,174.17716533357398,154.29969779560008,four_class_accuracy
NEH,3,16803,0.19264417068380646,90.35314718204486,70.47567964407096,four_class_accuracy
NEH,4,16803,0.19264417068380646,149.8606210520914,129.9831535141175,four_class_accuracy
NEH,5,16803,0.19264417068380646,141.95091674384258,122.07344920586868,four_class_accuracy
NEH,B2,16803,0.19264417068380646,94.10803868834131,74.23057115036741,four_class_accuracy
OCTDL-in-label,2,1462,0.09507523939808482,47.84814306192338,43.17803294268802,four_class_accuracy
OCTDL-in-label,3,1462,0.09507523939808482,29.153336355414023,24.48322623617866,four_class_accuracy
OCTDL-in-label,4,1462,0.09507523939808482,66.67436383675138,62.00425371751602,four_class_accuracy
OCTDL-in-label,5,1462,0.09507523939808482,39.91907163426034,35.24896151502498,four_class_accuracy
OCTDL-in-label,B2,1462,0.09507523939808482,40.18348486248734,35.51337474325198,four_class_accuracy
OCTDL-ambiguous,2,248,0.0,undefined (0 errors),undefined (0 errors),missed_disease
OCTDL-ambiguous,3,248,0.0,undefined (0 errors),undefined (0 errors),missed_disease
OCTDL-ambiguous,4,248,0.0,undefined (0 errors),undefined (0 errors),missed_disease
OCTDL-ambiguous,5,248,0.0,undefined (0 errors),undefined (0 errors),missed_disease
OCTDL-ambiguous,B2,248,0.0,undefined (0 errors),undefined (0 errors),missed_disease
OCTDL-novel-class,2,354,0.19774011299435024,139.4895209348525,118.50545226877722,missed_disease
OCTDL-novel-class,3,354,0.19774011299435024,144.3669918768473,123.38292321077202,missed_disease
OCTDL-novel-class,4,354,0.19774011299435024,162.76524930966858,141.7811806435933,missed_disease
OCTDL-novel-class,5,354,0.19774011299435024,173.1434764776136,152.15940781153833,missed_disease
OCTDL-novel-class,B2,354,0.19774011299435024,162.17043657147073,141.18636790539546,missed_disease
