source,condition,condition_label,n_accepted,accuracy,miss_rate
Kermany-test,1,No deferral,968,0.996900826446281,0.0
Kermany-test,2,OOD signals,921,1.0,0.0
Kermany-test,3,Uncertainty,945,1.0,0.0
Kermany-test,4,Conformal,963,0.9968847352024922,0.0
Kermany-test,5,All signals,947,1.0,0.0
Kermany-test,B2,Softmax confidence,894,1.0,0.0
RETOUCH-Spectralis,1,No deferral,342,,0.014619883040935672
RETOUCH-Spectralis,2,OOD signals,226,,0.0
RETOUCH-Spectralis,3,Uncertainty,286,,0.0034965034965034965
RETOUCH-Spectralis,4,Conformal,297,,0.010101010101010102
RETOUCH-Spectralis,5,All signals,273,,0.003663003663003663
RETOUCH-Spectralis,B2,Softmax confidence,239,,0.0041841004184100415
RETOUCH-Cirrus,1,No deferral,342,,0.049707602339181284
RETOUCH-Cirrus,2,OOD signals,289,,0.03460207612456748
RETOUCH-Cirrus,3,Uncertainty,292,,0.030821917808219176
RETOUCH-Cirrus,4,Conformal,329,,0.05167173252279635
RETOUCH-Cirrus,5,All signals,307,,0.035830618892508145
RETOUCH-Cirrus,B2,Softmax confidence,252,,0.03571428571428571
RETOUCH-Topcon,1,No deferral,324,,0.10802469135802469
RETOUCH-Topcon,2,OOD signals,324,,0.10802469135802469
RETOUCH-Topcon,3,Uncertainty,213,,0.09859154929577464
RETOUCH-Topcon,4,Conformal,306,,0.10457516339869281
RETOUCH-Topcon,5,All signals,318,,0.11006289308176101
RETOUCH-Topcon,B2,Softmax confidence,189,,0.07936507936507936
Rasti,1,No deferral,1332,0.78003003003003,0.16099773242630386
Rasti,2,OOD signals,930,0.8688172043010752,0.08588957055214724
Rasti,3,Uncertainty,875,0.8948571428571429,0.11070780399274047
Rasti,4,Conformal,1121,0.8465655664585192,0.13445378151260504
Rasti,5,All signals,994,0.8742454728370221,0.10862619808306709
Rasti,B2,Softmax confidence,707,0.9123055162659123,0.091324200913242
NEH,1,No deferral,16803,0.8073558293161935,0.14818867007050815
NEH,2,OOD signals,8261,0.8479602953637574,0.04941962715441435
NEH,3,Uncertainty,9662,0.9110950113848064,0.09386733416770963
NEH,4,Conformal,11674,0.8620010279253041,0.09209164818920916
NEH,5,All signals,10715,0.8858609426038264,0.08146744746813642
NEH,B2,Softmax confidence,7274,0.9188891943909816,0.05609756097560976
OCTDL-in-label,1,No deferral,1462,0.9049247606019152,0.017699115044247787
OCTDL-in-label,2,OOD signals,1246,0.9245585874799358,0.011661807580174927
OCTDL-in-label,3,Uncertainty,1186,0.9502529510961214,0.013289036544850499
OCTDL-in-label,4,Conformal,1345,0.9382899628252788,0.012464046021093002
OCTDL-in-label,5,All signals,1297,0.9414032382420972,0.012036108324974924
OCTDL-in-label,B2,Softmax confidence,1105,0.9547511312217195,0.011904761904761904
OCTDL-ambiguous,1,No deferral,248,,0.0
OCTDL-ambiguous,2,OOD signals,234,,0.0
OCTDL-ambiguous,3,Uncertainty,206,,0.0
OCTDL-ambiguous,4,Conformal,225,,0.0
OCTDL-ambiguous,5,All signals,218,,0.0
OCTDL-ambiguous,B2,Softmax confidence,197,,0.0
OCTDL-novel-class,1,No deferral,354,,0.1977401129943503
OCTDL-novel-class,2,OOD signals,253,,0.11857707509881422
OCTDL-novel-class,3,Uncertainty,160,,0.15
OCTDL-novel-class,4,Conformal,252,,0.14285714285714285
OCTDL-novel-class,5,All signals,218,,0.16055045871559634
OCTDL-novel-class,B2,Softmax confidence,120,,0.13333333333333333
