positive,negative,signal,auroc
OCTDL-in-label,OCTDL-ambiguous,ood_cosine,0.5973354551873262
OCTDL-in-label,OCTDL-novel-class,ood_cosine,0.2716202168687735
OCTDL-ambiguous,OCTDL-in-label,ood_cosine,0.4026645448126737
OCTDL-ambiguous,OCTDL-novel-class,ood_cosine,0.16867140513942044
OCTDL-novel-class,OCTDL-in-label,ood_cosine,0.7283797831312265
OCTDL-novel-class,OCTDL-ambiguous,ood_cosine,0.8313285948605795
OCTDL-in-label,OCTDL-ambiguous,ood_maha_combined,0.5049162106703147
OCTDL-in-label,OCTDL-novel-class,ood_maha_combined,0.5205604117878921
OCTDL-ambiguous,OCTDL-in-label,ood_maha_combined,0.4950837893296854
OCTDL-ambiguous,OCTDL-novel-class,ood_maha_combined,0.5156392381993803
OCTDL-novel-class,OCTDL-in-label,ood_maha_combined,0.4794395882121078
OCTDL-novel-class,OCTDL-ambiguous,ood_maha_combined,0.4843607618006197
OCTDL-in-label,OCTDL-ambiguous,softmax_confidence,0.5435191518467852
OCTDL-in-label,OCTDL-novel-class,softmax_confidence,0.21320437911072984
OCTDL-ambiguous,OCTDL-in-label,softmax_confidence,0.45648084815321477
OCTDL-ambiguous,OCTDL-novel-class,softmax_confidence,0.19474439584472386
OCTDL-novel-class,OCTDL-in-label,softmax_confidence,0.7867956208892702
OCTDL-novel-class,OCTDL-ambiguous,softmax_confidence,0.8052556041552762
OCTDL-in-label,OCTDL-ambiguous,mutual_info,0.5478768589206126
OCTDL-in-label,OCTDL-novel-class,mutual_info,0.20799036997534526
OCTDL-ambiguous,OCTDL-in-label,mutual_info,0.45212314107938745
OCTDL-ambiguous,OCTDL-novel-class,mutual_info,0.19234098778932018
OCTDL-novel-class,OCTDL-in-label,mutual_info,0.7920096300246547
OCTDL-novel-class,OCTDL-ambiguous,mutual_info,0.8076590122106798
OCTDL-in-label,OCTDL-ambiguous,cp_setsize,0.49311730506155954
OCTDL-in-label,OCTDL-novel-class,cp_setsize,0.39614972910725194
OCTDL-ambiguous,OCTDL-in-label,cp_setsize,0.5068826949384405
OCTDL-ambiguous,OCTDL-novel-class,cp_setsize,0.4025366776016038
OCTDL-novel-class,OCTDL-in-label,cp_setsize,0.6038502708927481
OCTDL-novel-class,OCTDL-ambiguous,cp_setsize,0.5974633223983962
