source,condition,ratio,risk_definition,deferral_rate,accepted_error_rate,expected_cost,n,n_accepted,relative_cost
Kermany-test,1,20,four_class_accuracy,0.0,0.0030991735537190084,0.06198347107438017,968,968,1.0
Kermany-test,2,20,four_class_accuracy,0.04855371900826446,0.0,0.04855371900826446,968,921,0.7833333333333333
Kermany-test,3,20,four_class_accuracy,0.023760330578512397,0.0,0.023760330578512397,968,945,0.38333333333333336
Kermany-test,4,20,four_class_accuracy,0.005165289256198347,0.003115264797507788,0.06714876033057851,968,963,1.0833333333333333
Kermany-test,5,20,four_class_accuracy,0.02169421487603306,0.0,0.02169421487603306,968,947,0.35
Kermany-test,B2,20,four_class_accuracy,0.07644628099173553,0.0,0.07644628099173553,968,894,1.2333333333333332
RETOUCH-Spectralis,1,20,missed_disease,0.0,0.014619883040935672,0.29239766081871343,342,342,1.0
RETOUCH-Spectralis,2,20,missed_disease,0.3391812865497076,0.0,0.3391812865497076,342,226,1.16
RETOUCH-Spectralis,3,20,missed_disease,0.16374269005847952,0.0034965034965034965,0.2222222222222222,342,286,0.76
RETOUCH-Spectralis,4,20,missed_disease,0.13157894736842105,0.010101010101010102,0.30701754385964913,342,297,1.05
RETOUCH-Spectralis,5,20,missed_disease,0.20175438596491227,0.003663003663003663,0.260233918128655,342,273,0.8900000000000001
RETOUCH-Spectralis,B2,20,missed_disease,0.30116959064327486,0.0041841004184100415,0.35964912280701755,342,239,1.2300000000000002
RETOUCH-Cirrus,1,20,missed_disease,0.0,0.049707602339181284,0.9941520467836257,342,342,1.0
RETOUCH-Cirrus,2,20,missed_disease,0.15497076023391812,0.03460207612456748,0.7397660818713451,342,289,0.7441176470588237
RETOUCH-Cirrus,3,20,missed_disease,0.14619883040935672,0.030821917808219176,0.672514619883041,342,292,0.6764705882352942
RETOUCH-Cirrus,4,20,missed_disease,0.038011695906432746,0.05167173252279635,1.0321637426900585,342,329,1.0382352941176471
RETOUCH-Cirrus,5,20,missed_disease,0.1023391812865497,0.035830618892508145,0.7456140350877193,342,307,0.75
RETOUCH-Cirrus,B2,20,missed_disease,0.2631578947368421,0.03571428571428571,0.7894736842105263,342,252,0.7941176470588236
RETOUCH-Topcon,1,20,missed_disease,0.0,0.10802469135802469,2.1604938271604937,324,324,1.0
RETOUCH-Topcon,2,20,missed_disease,0.0,0.10802469135802469,2.1604938271604937,324,324,1.0
RETOUCH-Topcon,3,20,missed_disease,0.3425925925925926,0.09859154929577464,1.6388888888888888,324,213,0.7585714285714286
RETOUCH-Topcon,4,20,missed_disease,0.05555555555555555,0.10457516339869281,2.0308641975308643,324,306,0.9400000000000002
RETOUCH-Topcon,5,20,missed_disease,0.018518518518518517,0.11006289308176101,2.1790123456790123,324,318,1.0085714285714287
RETOUCH-Topcon,B2,20,missed_disease,0.4166666666666667,0.07936507936507936,1.3425925925925926,324,189,0.6214285714285714
Rasti,1,20,four_class_accuracy,0.0,0.21996996996996998,4.3993993993994,1332,1332,1.0
Rasti,2,20,four_class_accuracy,0.30180180180180183,0.13118279569892474,2.1336336336336337,1332,930,0.4849829351535836
Rasti,3,20,four_class_accuracy,0.3430930930930931,0.10514285714285715,1.7244744744744744,1332,875,0.3919795221843003
Rasti,4,20,four_class_accuracy,0.15840840840840842,0.1534344335414808,2.740990990990991,1332,1121,0.6230375426621161
Rasti,5,20,four_class_accuracy,0.25375375375375375,0.12575452716297786,2.130630630630631,1332,994,0.48430034129692834
Rasti,B2,20,four_class_accuracy,0.4692192192192192,0.0876944837340877,1.40015015015015,1332,707,0.31825938566552897
NEH,1,20,four_class_accuracy,0.0,0.19264417068380646,3.852883413676129,16803,16803,1.0
NEH,2,20,four_class_accuracy,0.508361602094864,0.15203970463624258,2.003332738201512,16803,8261,0.5199567500772321
NEH,3,20,four_class_accuracy,0.4249836338749033,0.08890498861519354,1.447420103552937,16803,9662,0.3756719184430028
NEH,4,20,four_class_accuracy,0.3052431113491638,0.1379989720746959,2.222757840861751,16803,11674,0.5769076305220884
NEH,5,20,four_class_accuracy,0.3623162530500506,0.11413905739617358,1.8180086889245968,16803,10715,0.4718566573988261
NEH,B2,20,four_class_accuracy,0.5671606260786765,0.08112195792657775,1.2694161756829139,16803,7273,0.32947173308619093
OCTDL-in-label,1,20,four_class_accuracy,0.0,0.09507523939808482,1.9015047879616962,1462,1462,1.0
OCTDL-in-label,2,20,four_class_accuracy,0.14774281805745554,0.0754414125200642,1.4336525307797539,1462,1246,0.7539568345323742
OCTDL-in-label,3,20,four_class_accuracy,0.18878248974008208,0.049747048903878585,0.9958960328317373,1462,1186,0.5237410071942447
OCTDL-in-label,4,20,four_class_accuracy,0.08002735978112176,0.06171003717472119,1.2154582763337893,1462,1345,0.6392086330935253
