source,condition,ratio,risk_definition,deferral_rate,accepted_error_rate,expected_cost,n,n_accepted,rank
Kermany-test,1,5,four_class_accuracy,0.0,0.0030991735537190084,0.015495867768595042,968,968,1
Kermany-test,2,5,four_class_accuracy,0.0,0.0030991735537190084,0.015495867768595042,968,968,1
Kermany-test,3,5,four_class_accuracy,0.009297520661157025,0.0020855057351407717,0.01962809917355372,968,959,3
Kermany-test,4,5,four_class_accuracy,0.005165289256198347,0.003115264797507788,0.02066115702479339,968,963,6
Kermany-test,5,5,four_class_accuracy,0.009297520661157025,0.0020855057351407717,0.01962809917355372,968,959,3
Kermany-test,B2,5,four_class_accuracy,0.01962809917355372,0.0,0.01962809917355372,968,949,3
Kermany-test,1,10,four_class_accuracy,0.0,0.0030991735537190084,0.030991735537190084,968,968,4
Kermany-test,2,10,four_class_accuracy,0.01859504132231405,0.0,0.01859504132231405,968,950,2
Kermany-test,3,10,four_class_accuracy,0.015495867768595042,0.001049317943336831,0.025826446280991736,968,953,3
Kermany-test,4,10,four_class_accuracy,0.005165289256198347,0.003115264797507788,0.03615702479338843,968,963,5
Kermany-test,5,10,four_class_accuracy,0.01756198347107438,0.0,0.01756198347107438,968,951,1
Kermany-test,B2,10,four_class_accuracy,0.06818181818181818,0.0,0.06818181818181818,968,902,6
Kermany-test,1,20,four_class_accuracy,0.0,0.0030991735537190084,0.06198347107438017,968,968,4
Kermany-test,2,20,four_class_accuracy,0.04855371900826446,0.0,0.04855371900826446,968,921,3
Kermany-test,3,20,four_class_accuracy,0.023760330578512397,0.0,0.023760330578512397,968,945,2
Kermany-test,4,20,four_class_accuracy,0.005165289256198347,0.003115264797507788,0.06714876033057851,968,963,5
Kermany-test,5,20,four_class_accuracy,0.02169421487603306,0.0,0.02169421487603306,968,947,1
Kermany-test,B2,20,four_class_accuracy,0.07644628099173553,0.0,0.07644628099173553,968,894,6
Kermany-test,1,50,four_class_accuracy,0.0,0.0030991735537190084,0.15495867768595042,968,968,4
Kermany-test,2,50,four_class_accuracy,0.18078512396694216,0.0,0.18078512396694216,968,793,6
Kermany-test,3,50,four_class_accuracy,0.03305785123966942,0.0,0.03305785123966942,968,936,1
Kermany-test,4,50,four_class_accuracy,0.005165289256198347,0.003115264797507788,0.16012396694214875,968,963,5
Kermany-test,5,50,four_class_accuracy,0.08471074380165289,0.0,0.08471074380165289,968,886,2
Kermany-test,B2,50,four_class_accuracy,0.11260330578512397,0.0,0.11260330578512397,968,859,3
RETOUCH-Spectralis,1,5,missed_disease,0.0,0.014619883040935672,0.07309941520467836,342,342,1
RETOUCH-Spectralis,2,5,missed_disease,0.0,0.014619883040935672,0.07309941520467836,342,342,1
RETOUCH-Spectralis,3,5,missed_disease,0.06725146198830409,0.009404388714733543,0.1111111111111111,342,319,4
RETOUCH-Spectralis,4,5,missed_disease,0.13157894736842105,0.010101010101010102,0.17543859649122806,342,297,6
RETOUCH-Spectralis,5,5,missed_disease,0.06725146198830409,0.006269592476489028,0.09649122807017543,342,319,3
RETOUCH-Spectralis,B2,5,missed_disease,0.14327485380116958,0.006825938566552901,0.17251461988304093,342,293,5
RETOUCH-Spectralis,1,10,missed_disease,0.0,0.014619883040935672,0.14619883040935672,342,342,1
RETOUCH-Spectralis,2,10,missed_disease,0.25146198830409355,0.00390625,0.2807017543859649,342,256,5
RETOUCH-Spectralis,3,10,missed_disease,0.10526315789473684,0.006535947712418301,0.16374269005847952,342,306,2
RETOUCH-Spectralis,4,10,missed_disease,0.13157894736842105,0.010101010101010102,0.21929824561403508,342,297,4
RETOUCH-Spectralis,5,10,missed_disease,0.16374269005847952,0.0034965034965034965,0.19298245614035087,342,286,3
RETOUCH-Spectralis,B2,10,missed_disease,0.29239766081871343,0.004132231404958678,0.3216374269005848,342,242,6
RETOUCH-Spectralis,1,20,missed_disease,0.0,0.014619883040935672,0.29239766081871343,342,342,3
RETOUCH-Spectralis,2,20,missed_disease,0.3391812865497076,0.0,0.3391812865497076,342,226,5
RETOUCH-Spectralis,3,20,missed_disease,0.16374269005847952,0.0034965034965034965,0.2222222222222222,342,286,1
RETOUCH-Spectralis,4,20,missed_disease,0.13157894736842105,0.010101010101010102,0.30701754385964913,342,297,4
RETOUCH-Spectralis,5,20,missed_disease,0.20175438596491227,0.003663003663003663,0.260233918128655,342,273,2
RETOUCH-Spectralis,B2,20,missed_disease,0.30116959064327486,0.0041841004184100415,0.35964912280701755,342,239,6
RETOUCH-Spectralis,1,50,missed_disease,0.0,0.014619883040935672,0.7309941520467836,342,342,6
RETOUCH-Spectralis,2,50,missed_disease,0.4590643274853801,0.0,0.4590643274853801,342,185,3
RETOUCH-Spectralis,3,50,missed_disease,0.2134502923976608,0.0037174721189591076,0.35964912280701755,342,269,1
RETOUCH-Spectralis,4,50,missed_disease,0.13157894736842105,0.010101010101010102,0.5701754385964912,342,297,5
RETOUCH-Spectralis,5,50,missed_disease,0.3888888888888889,0.0,0.3888888888888889,342,209,2
RETOUCH-Spectralis,B2,50,missed_disease,0.35964912280701755,0.0045662100456621,0.5058479532163743,342,219,4
RETOUCH-Cirrus,1,5,missed_disease,0.0,0.049707602339181284,0.24853801169590642,342,342,2
RETOUCH-Cirrus,2,5,missed_disease,0.0,0.049707602339181284,0.24853801169590642,342,342,2
RETOUCH-Cirrus,3,5,missed_disease,0.08187134502923976,0.03821656050955414,0.2573099415204678,342,314,4
RETOUCH-Cirrus,4,5,missed_disease,0.038011695906432746,0.05167173252279635,0.28654970760233917,342,329,6
RETOUCH-Cirrus,5,5,missed_disease,0.06725146198830409,0.03761755485893417,0.24269005847953215,342,319,1
RETOUCH-Cirrus,B2,5,missed_disease,0.13450292397660818,0.033783783783783786,0.2807017543859649,342,296,5
RETOUCH-Cirrus,1,10,missed_disease,0.0,0.049707602339181284,0.49707602339181284,342,342,5
RETOUCH-Cirrus,2,10,missed_disease,0.07602339181286549,0.03481012658227848,0.39766081871345027,342,316,1
RETOUCH-Cirrus,3,10,missed_disease,0.11403508771929824,0.036303630363036306,0.43567251461988304,342,303,2
RETOUCH-Cirrus,4,10,missed_disease,0.038011695906432746,0.05167173252279635,0.5350877192982456,342,329,6
RETOUCH-Cirrus,5,10,missed_disease,0.0847953216374269,0.038338658146964855,0.43567251461988304,342,313,2
RETOUCH-Cirrus,B2,10,missed_disease,0.22807017543859648,0.03409090909090909,0.49122807017543857,342,264,4
RETOUCH-Cirrus,1,20,missed_disease,0.0,0.049707602339181284,0.9941520467836257,342,342,5
RETOUCH-Cirrus,2,20,missed_disease,0.15497076023391812,0.03460207612456748,0.7397660818713451,342,289,2
RETOUCH-Cirrus,3,20,missed_disease,0.14619883040935672,0.030821917808219176,0.672514619883041,342,292,1
RETOUCH-Cirrus,4,20,missed_disease,0.038011695906432746,0.05167173252279635,1.0321637426900585,342,329,6
RETOUCH-Cirrus,5,20,missed_disease,0.1023391812865497,0.035830618892508145,0.7456140350877193,342,307,3
RETOUCH-Cirrus,B2,20,missed_disease,0.2631578947368421,0.03571428571428571,0.7894736842105263,342,252,4
RETOUCH-Cirrus,1,50,missed_disease,0.0,0.049707602339181284,2.4853801169590644,342,342,5
RETOUCH-Cirrus,2,50,missed_disease,0.21637426900584794,0.026119402985074626,1.239766081871345,342,268,1
RETOUCH-Cirrus,3,50,missed_disease,0.18128654970760233,0.03214285714285714,1.4970760233918128,342,280,3
RETOUCH-Cirrus,4,50,missed_disease,0.038011695906432746,0.05167173252279635,2.5233918128654973,342,329,6
RETOUCH-Cirrus,5,50,missed_disease,0.19298245614035087,0.028985507246376812,1.3625730994152048,342,276,2
RETOUCH-Cirrus,B2,50,missed_disease,0.3216374269005848,0.03879310344827586,1.6374269005847952,342,232,4
RETOUCH-Topcon,1,5,missed_disease,0.0,0.10802469135802469,0.5401234567901234,324,324,2
RETOUCH-Topcon,2,5,missed_disease,0.0,0.10802469135802469,0.5401234567901234,324,324,2
RETOUCH-Topcon,3,5,missed_disease,0.2345679012345679,0.09274193548387097,0.5895061728395061,324,248,5
RETOUCH-Topcon,4,5,missed_disease,0.05555555555555555,0.10457516339869281,0.5493827160493827,324,306,4
RETOUCH-Topcon,5,5,missed_disease,0.07407407407407407,0.1,0.5370370370370371,324,300,1
RETOUCH-Topcon,B2,5,missed_disease,0.2654320987654321,0.08823529411764706,0.5895061728395061,324,238,5
RETOUCH-Topcon,1,10,missed_disease,0.0,0.10802469135802469,1.0802469135802468,324,324,4
RETOUCH-Topcon,2,10,missed_disease,0.0,0.10802469135802469,1.0802469135802468,324,324,4
RETOUCH-Topcon,3,10,missed_disease,0.2932098765432099,0.09606986899563319,0.9722222222222222,324,229,2
RETOUCH-Topcon,4,10,missed_disease,0.05555555555555555,0.10457516339869281,1.0432098765432098,324,306,3
RETOUCH-Topcon,5,10,missed_disease,0.006172839506172839,0.10869565217391304,1.0864197530864197,324,322,6
RETOUCH-Topcon,B2,10,missed_disease,0.404320987654321,0.07772020725388601,0.8672839506172839,324,193,1
RETOUCH-Topcon,1,20,missed_disease,0.0,0.10802469135802469,2.1604938271604937,324,324,4
RETOUCH-Topcon,2,20,missed_disease,0.0,0.10802469135802469,2.1604938271604937,324,324,4
RETOUCH-Topcon,3,20,missed_disease,0.3425925925925926,0.09859154929577464,1.6388888888888888,324,213,2
RETOUCH-Topcon,4,20,missed_disease,0.05555555555555555,0.10457516339869281,2.0308641975308643,324,306,3
RETOUCH-Topcon,5,20,missed_disease,0.018518518518518517,0.11006289308176101,2.1790123456790123,324,318,6
RETOUCH-Topcon,B2,20,missed_disease,0.4166666666666667,0.07936507936507936,1.3425925925925926,324,189,1
RETOUCH-Topcon,1,50,missed_disease,0.0,0.10802469135802469,5.401234567901234,324,324,5
RETOUCH-Topcon,2,50,missed_disease,0.0,0.10802469135802469,5.401234567901234,324,324,5
RETOUCH-Topcon,3,50,missed_disease,0.39197530864197533,0.09644670050761421,3.324074074074074,324,197,2
RETOUCH-Topcon,4,50,missed_disease,0.05555555555555555,0.10457516339869281,4.993827160493828,324,306,4
RETOUCH-Topcon,5,50,missed_disease,0.09876543209876543,0.09931506849315068,4.574074074074074,324,292,3
RETOUCH-Topcon,B2,50,missed_disease,0.4351851851851852,0.07650273224043716,2.595679012345679,324,183,1
Rasti,1,5,four_class_accuracy,0.0,0.21996996996996998,1.09984984984985,1332,1332,5
Rasti,2,5,four_class_accuracy,0.0,0.21996996996996998,1.09984984984985,1332,1332,5
Rasti,3,5,four_class_accuracy,0.18393393393393392,0.1545538178472861,0.8145645645645646,1332,1087,3
Rasti,4,5,four_class_accuracy,0.15840840840840842,0.1534344335414808,0.8040540540540541,1332,1121,2
Rasti,5,5,four_class_accuracy,0.1554054054054054,0.1582222222222222,0.8235735735735735,1332,1125,4
Rasti,B2,5,four_class_accuracy,0.28603603603603606,0.12092534174553102,0.7177177177177178,1332,951,1
Rasti,1,10,four_class_accuracy,0.0,0.21996996996996998,2.1996996996997,1332,1332,6
Rasti,2,10,four_class_accuracy,0.13438438438438438,0.17519514310494363,1.6509009009009008,1332,1153,5
Rasti,3,10,four_class_accuracy,0.27627627627627627,0.12448132780082988,1.177177177177177,1332,964,2
