source,condition,ranks_by_ratio,rank_changes
Kermany-test,1,"[1, 4, 4, 4]",True
Kermany-test,2,"[1, 2, 3, 6]",True
Kermany-test,3,"[3, 3, 2, 1]",True
Kermany-test,4,"[6, 5, 5, 5]",True
Kermany-test,5,"[3, 1, 1, 2]",True
Kermany-test,B2,"[3, 6, 6, 3]",True
RETOUCH-Spectralis,1,"[1, 1, 3, 6]",True
RETOUCH-Spectralis,2,"[1, 5, 5, 3]",True
RETOUCH-Spectralis,3,"[4, 2, 1, 1]",True
RETOUCH-Spectralis,4,"[6, 4, 4, 5]",True
RETOUCH-Spectralis,5,"[3, 3, 2, 2]",True
RETOUCH-Spectralis,B2,"[5, 6, 6, 4]",True
RETOUCH-Cirrus,1,"[2, 5, 5, 5]",True
RETOUCH-Cirrus,2,"[2, 1, 2, 1]",True
RETOUCH-Cirrus,3,"[4, 2, 1, 3]",True
RETOUCH-Cirrus,4,"[6, 6, 6, 6]",False
RETOUCH-Cirrus,5,"[1, 2, 3, 2]",True
RETOUCH-Cirrus,B2,"[5, 4, 4, 4]",True
RETOUCH-Topcon,1,"[2, 4, 4, 5]",True
RETOUCH-Topcon,2,"[2, 4, 4, 5]",True
RETOUCH-Topcon,3,"[5, 2, 2, 2]",True
RETOUCH-Topcon,4,"[4, 3, 3, 4]",True
RETOUCH-Topcon,5,"[1, 6, 6, 3]",True
RETOUCH-Topcon,B2,"[5, 1, 1, 1]",True
Rasti,1,"[5, 6, 6, 6]",True
Rasti,2,"[5, 5, 4, 4]",True
Rasti,3,"[3, 2, 2, 3]",True
Rasti,4,"[2, 4, 5, 5]",True
Rasti,5,"[4, 3, 3, 2]",True
Rasti,B2,"[1, 1, 1, 1]",False
NEH,1,"[5, 6, 6, 6]",True
NEH,2,"[5, 5, 4, 4]",True
NEH,3,"[2, 2, 2, 2]",False
NEH,4,"[4, 4, 5, 5]",True
NEH,5,"[3, 3, 3, 3]",False
NEH,B2,"[1, 1, 1, 1]",False
OCTDL-in-label,1,"[5, 6, 6, 6]",True
OCTDL-in-label,2,"[5, 5, 5, 5]",False
OCTDL-in-label,3,"[3, 2, 2, 2]",True
OCTDL-in-label,4,"[1, 3, 4, 4]",True
OCTDL-in-label,5,"[4, 4, 3, 3]",True
OCTDL-in-label,B2,"[2, 1, 1, 1]",True
OCTDL-ambiguous,1,"[1, 1, 1, 1]",False
OCTDL-ambiguous,2,"[1, 2, 2, 2]",True
OCTDL-ambiguous,3,"[6, 5, 5, 5]",True
OCTDL-ambiguous,4,"[3, 3, 3, 3]",False
OCTDL-ambiguous,5,"[4, 4, 4, 4]",False
OCTDL-ambiguous,B2,"[5, 6, 6, 6]",True
OCTDL-novel-class,1,"[5, 6, 6, 6]",True
OCTDL-novel-class,2,"[5, 5, 3, 4]",True
OCTDL-novel-class,3,"[3, 2, 2, 2]",True
OCTDL-novel-class,4,"[1, 3, 4, 5]",True
OCTDL-novel-class,5,"[2, 4, 5, 3]",True
OCTDL-novel-class,B2,"[4, 1, 1, 1]",True
