source,condition,risk_definition,target_risk,max_coverage,required_deferral_rate
Kermany-test,2,missed_disease,0.1,1.0,0.0
Kermany-test,2,missed_disease,0.05,1.0,0.0
Kermany-test,2,missed_disease,0.02,1.0,0.0
Kermany-test,2,missed_disease,0.01,1.0,0.0
Kermany-test,3,missed_disease,0.1,1.0,0.0
Kermany-test,3,missed_disease,0.05,1.0,0.0
Kermany-test,3,missed_disease,0.02,1.0,0.0
Kermany-test,3,missed_disease,0.01,1.0,0.0
Kermany-test,4,missed_disease,0.1,1.0,0.0
Kermany-test,4,missed_disease,0.05,1.0,0.0
Kermany-test,4,missed_disease,0.02,1.0,0.0
Kermany-test,4,missed_disease,0.01,1.0,0.0
Kermany-test,5,missed_disease,0.1,1.0,0.0
Kermany-test,5,missed_disease,0.05,1.0,0.0
Kermany-test,5,missed_disease,0.02,1.0,0.0
Kermany-test,5,missed_disease,0.01,1.0,0.0
Kermany-test,B2,missed_disease,0.1,1.0,0.0
Kermany-test,B2,missed_disease,0.05,1.0,0.0
Kermany-test,B2,missed_disease,0.02,1.0,0.0
Kermany-test,B2,missed_disease,0.01,1.0,0.0
Kermany-test,2,four_class_accuracy,0.1,1.0,0.0
Kermany-test,2,four_class_accuracy,0.05,1.0,0.0
Kermany-test,2,four_class_accuracy,0.02,1.0,0.0
Kermany-test,2,four_class_accuracy,0.01,1.0,0.0
Kermany-test,3,four_class_accuracy,0.1,1.0,0.0
Kermany-test,3,four_class_accuracy,0.05,1.0,0.0
Kermany-test,3,four_class_accuracy,0.02,1.0,0.0
Kermany-test,3,four_class_accuracy,0.01,1.0,0.0
Kermany-test,4,four_class_accuracy,0.1,1.0,0.0
Kermany-test,4,four_class_accuracy,0.05,1.0,0.0
Kermany-test,4,four_class_accuracy,0.02,1.0,0.0
Kermany-test,4,four_class_accuracy,0.01,1.0,0.0
Kermany-test,5,four_class_accuracy,0.1,1.0,0.0
Kermany-test,5,four_class_accuracy,0.05,1.0,0.0
Kermany-test,5,four_class_accuracy,0.02,1.0,0.0
