source,condition,coverage,accepted_error_rate,baseline_error,relative_to_baseline,worse_than_baseline
Kermany-test,2,0.7,0.0,0.0030991735537190257,0.0,False
Kermany-test,2,0.8,0.0,0.0030991735537190257,0.0,False
Kermany-test,2,0.9,0.0,0.0030991735537190257,0.0,False
Kermany-test,3,0.7,0.0,0.0030991735537190257,0.0,False
Kermany-test,3,0.8,0.0,0.0030991735537190257,0.0,False
Kermany-test,3,0.9,0.0,0.0030991735537190257,0.0,False
Kermany-test,4,0.7,0.004427393105972465,0.0030991735537190257,1.4285721755271075,True
Kermany-test,4,0.8,0.0038739684921230474,0.0030991735537190257,1.2500005001250296,True
Kermany-test,4,0.9,0.003443526896217608,0.0030991735537190257,1.111111345179542,True
Kermany-test,5,0.7,0.0,0.0030991735537190257,0.0,False
Kermany-test,5,0.8,0.0,0.0030991735537190257,0.0,False
Kermany-test,5,0.9,0.0,0.0030991735537190257,0.0,False
Kermany-test,B2,0.7,0.0,0.0030991735537190257,0.0,False
Kermany-test,B2,0.8,0.0,0.0030991735537190257,0.0,False
Kermany-test,B2,0.9,0.0,0.0030991735537190257,0.0,False
RETOUCH-Spectralis,2,0.7,0.004177126917712658,0.014619883040935644,0.2857154811715464,False
RETOUCH-Spectralis,2,0.8,0.010964947461297836,0.014619883040935644,0.7500024063527735,False
RETOUCH-Spectralis,2,0.9,0.012995473581792804,0.014619883040935644,0.8888903929946295,False
RETOUCH-Spectralis,3,0.7,0.004177126917712658,0.014619883040935644,0.2857154811715464,False
RETOUCH-Spectralis,3,0.8,0.0036549824870993008,0.014619883040935644,0.2500008021175927,False
RETOUCH-Spectralis,3,0.9,0.006497736790896358,0.014619883040935644,0.44444519649731173,False
RETOUCH-Spectralis,4,0.7,0.012531380753138041,0.014619883040935644,0.8571464435146438,False
RETOUCH-Spectralis,4,0.8,0.010964947461297836,0.014619883040935644,0.7500024063527735,False
RETOUCH-Spectralis,4,0.9,0.016244341977241027,0.014619883040935644,1.1111129912432884,True
RETOUCH-Spectralis,5,0.7,0.004177126917712658,0.014619883040935644,0.2857154811715464,False
RETOUCH-Spectralis,5,0.8,0.0036549824870993008,0.014619883040935644,0.2500008021175927,False
