source,variant,class,n,accuracy,miss_rate
Rasti,unrestricted,CNV,0,,
Rasti,unrestricted,DME,450,0.9355555555555556,
Rasti,unrestricted,DRUSEN,432,0.4513888888888889,
Rasti,unrestricted,NORMAL,450,0.94,
Rasti,unrestricted,OVERALL,1332,0.78003003003003,0.16099773242630386
Rasti,restricted,CNV,0,,
Rasti,restricted,DME,450,0.9533333333333334,
Rasti,restricted,DRUSEN,432,0.5370370370370371,
Rasti,restricted,NORMAL,450,0.94,
Rasti,restricted,OVERALL,1332,0.8138138138138138,0.1655328798185941
NEH,unrestricted,CNV,3234,0.9304267161410018,
NEH,unrestricted,DME,0,,
NEH,unrestricted,DRUSEN,4992,0.5600961538461539,
NEH,unrestricted,NORMAL,8577,0.9048618398041273,
NEH,unrestricted,OVERALL,16803,0.8073558293161935,0.14818867007050815
NEH,restricted,CNV,3234,0.9471243042671614,
NEH,restricted,DME,0,,
NEH,restricted,DRUSEN,4992,0.5622996794871795,
NEH,restricted,NORMAL,8577,0.9270141074967938,
NEH,restricted,OVERALL,16803,0.8225316907695055,0.15171407731582787
