source,condition,risk_definition,n,base_error,augrc,augrc_x1000,aurc_x1000,augrc_ratio_vs_random,rank_augrc,rank_aurc
Kermany-test,2,four_class_accuracy,968,0.0030991735537190257,2.8281025886209872e-05,0.02828102588620987,0.02844442636370388,0.018250688705234,2,2
Kermany-test,3,four_class_accuracy,968,0.0030991735537190257,3.1482651458233524e-05,0.03148265145823352,0.03169870785150075,0.020316804407713253,3,3
Kermany-test,4,four_class_accuracy,968,0.0030991735537190257,0.0015575908407911704,1.5575908407911703,3.1120049219188144,1.0051652892572296,5,5
Kermany-test,5,four_class_accuracy,968,0.0030991735537190257,3.254985998224149e-05,0.03254985998224149,0.03276356460914483,0.021005509641873057,4,4
Kermany-test,B2,four_class_accuracy,968,0.0030991735537190257,1.120568950208314e-05,0.01120568950208314,0.01122669275577576,0.007231404958677612,1,1
RETOUCH-Spectralis,2,missed_disease,342,0.014619883040935644,0.0029282514277897452,2.9282514277897453,3.363096188499879,0.40058479532163793,3,3
RETOUCH-Spectralis,3,missed_disease,342,0.014619883040935644,0.002321227044218734,2.321227044218734,3.0751481885048495,0.31754385964912346,2,2
RETOUCH-Spectralis,4,missed_disease,342,0.014619883040935644,0.005390547518894289,5.390547518894289,10.427715643962044,0.7374269005847403,5,5
RETOUCH-Spectralis,5,missed_disease,342,0.014619883040935644,0.0018851954447522302,1.88519544475223,2.2089819952456478,0.25789473684210557,1,1
RETOUCH-Spectralis,B2,missed_disease,342,0.014619883040935644,0.0032403132587805134,3.2403132587805135,4.703729043589307,0.4432748538011751,4,4
RETOUCH-Cirrus,2,missed_disease,342,0.049707602339181256,0.015273930440135426,15.273930440135427,30.88405777182629,0.6145510835913316,2,2
RETOUCH-Cirrus,3,missed_disease,342,0.049707602339181256,0.019480352929106392,19.48035292910639,36.87715418961258,0.7837977296181635,3,3
RETOUCH-Cirrus,4,missed_disease,342,0.049707602339181256,0.025798536301768656,25.798536301768657,51.482836288356594,1.0380116959064571,5,5
RETOUCH-Cirrus,5,missed_disease,342,0.049707602339181256,0.01302537532916111,13.025375329161111,20.128129538126576,0.5240798073615415,1,1
RETOUCH-Cirrus,B2,missed_disease,342,0.049707602339181256,0.020395164324066108,20.39516432406611,41.0747691223579,0.8206054351565427,4,4
RETOUCH-Topcon,2,missed_disease,324,0.10802469135802473,0.03983291418991007,39.83291418991007,63.579723409110585,0.7374779541446205,2,2
RETOUCH-Topcon,3,missed_disease,324,0.10802469135802473,0.04109987044657826,41.09987044657826,66.83182321257347,0.7609347442680772,3,3
RETOUCH-Topcon,4,missed_disease,324,0.10802469135802473,0.052383401920438874,52.38340192043887,104.35004057718429,0.969841269841268,4,4
RETOUCH-Topcon,5,missed_disease,324,0.10802469135802473,0.06037094192958389,60.37094192958389,145.37623893043812,1.1177248677248672,5,5
RETOUCH-Topcon,B2,missed_disease,324,0.10802469135802473,0.03876600365797849,38.766003657978494,62.450439687902445,0.7177248677248587,1,1
Rasti,2,four_class_accuracy,1332,0.21996996996996998,0.06583413368323278,65.83413368323278,103.41554919580899,0.5985738298024987,4,3
Rasti,3,four_class_accuracy,1332,0.21996996996996998,0.059394980566151744,59.394980566151744,86.96126654748565,0.5400280826901988,1,1
Rasti,4,four_class_accuracy,1332,0.21996996996996998,0.08155593656720068,81.55593656720069,158.4338344930705,0.741518822576869,5,5
Rasti,5,four_class_accuracy,1332,0.21996996996996998,0.062432646610574544,62.432646610574544,103.1164563871943,0.5676469985343706,2,2
Rasti,B2,four_class_accuracy,1332,0.21996996996996998,0.06500813876939933,65.00813876939932,106.75207532874923,0.5910637600057331,3,4
NEH,2,four_class_accuracy,16803,0.19264417068380646,0.08374406655468639,83.74406655468638,174.17716533357398,0.8694170839162159,5,5
NEH,3,four_class_accuracy,16803,0.19264417068380646,0.05703823530519103,57.03823530519103,90.35314718204486,0.5921615494798425,1,1
NEH,4,four_class_accuracy,16803,0.19264417068380646,0.07763299105660378,77.63299105660377,149.8606210520914,0.8059729062243517,4,4
NEH,5,four_class_accuracy,16803,0.19264417068380646,0.06669828767119526,66.69828767119526,141.95091674384258,0.6924506195484053,3,3
NEH,B2,four_class_accuracy,16803,0.19264417068380646,0.057935404584028766,57.93540458402877,94.10803868834131,0.6014758129289066,2,2
OCTDL-in-label,2,four_class_accuracy,1462,0.09507523939808482,0.02898017445135405,28.98017445135405,47.84814306192338,0.609626115796829,4,4
OCTDL-in-label,3,four_class_accuracy,1462,0.09507523939808482,0.021155408048117334,21.155408048117334,29.153336355414023,0.4450245549114754,1,1
OCTDL-in-label,4,four_class_accuracy,1462,0.09507523939808482,0.03247780994496119,32.47780994496119,66.67436383675138,0.6832022753889677,5,5
OCTDL-in-label,5,four_class_accuracy,1462,0.09507523939808482,0.023929281889958284,23.929281889958283,39.91907163426034,0.503375685224734,3,2
OCTDL-in-label,B2,four_class_accuracy,1462,0.09507523939808482,0.023788459487128558,23.78845948712856,40.18348486248734,0.500413349211251,2,3
OCTDL-ambiguous,2,missed_disease,248,0.0,0.0,0.0,undefined (0 errors),undefined (0 errors),1,
OCTDL-ambiguous,3,missed_disease,248,0.0,0.0,0.0,undefined (0 errors),undefined (0 errors),1,
OCTDL-ambiguous,4,missed_disease,248,0.0,0.0,0.0,undefined (0 errors),undefined (0 errors),1,
OCTDL-ambiguous,5,missed_disease,248,0.0,0.0,0.0,undefined (0 errors),undefined (0 errors),1,
OCTDL-ambiguous,B2,missed_disease,248,0.0,0.0,0.0,undefined (0 errors),undefined (0 errors),1,
OCTDL-novel-class,2,missed_disease,354,0.19774011299435024,0.06537872258929427,65.37872258929427,139.4895209348525,0.6612590799031479,1,1
OCTDL-novel-class,3,missed_disease,354,0.19774011299435024,0.08231191547767244,82.31191547767244,144.3669918768473,0.8325262308313157,4,2
OCTDL-novel-class,4,missed_disease,354,0.19774011299435024,0.08046857544128269,80.4685754412827,162.76524930966858,0.813882163034688,3,4
OCTDL-novel-class,5,missed_disease,354,0.19774011299435024,0.07928756104567652,79.28756104567653,173.1434764776136,0.8019370460048427,2,5
OCTDL-novel-class,B2,missed_disease,354,0.19774011299435024,0.08887532318299338,88.87532318299337,162.17043657147073,0.898910411622276,5,3
