source,condition,risk_definition,n,base_error,augrc_window,augrc_window_x1000,augrc_window_ratio_vs_random,rank_augrc_window,augrc_x1000,rank_augrc
Kermany-test,2,four_class_accuracy,968,0.0030991735537190257,0.0,0.0,0.0,1,0.02828102588620987,2
Kermany-test,3,four_class_accuracy,968,0.0030991735537190257,0.0,0.0,0.0,1,0.03148265145823352,3
Kermany-test,4,four_class_accuracy,968,0.0030991735537190257,0.0024922118380114266,2.4922118380114267,1.0051921079979365,2,1.5575908407911703,5
Kermany-test,5,four_class_accuracy,968,0.0030991735537190257,0.0,0.0,0.0,1,0.03254985998224149,4
Kermany-test,B2,four_class_accuracy,968,0.0030991735537190257,0.0,0.0,0.0,1,0.01120568950208314,1
RETOUCH-Spectralis,2,missed_disease,342,0.014619883040935644,0.007023528607092777,7.023528607092778,0.6005116959064336,3,2.9282514277897453,3
RETOUCH-Spectralis,3,missed_disease,342,0.014619883040935644,0.0031932902431517384,3.1932902431517385,0.2730263157894741,1,2.321227044218734,2
RETOUCH-Spectralis,4,missed_disease,342,0.014619883040935644,0.008180279246760038,8.180279246760039,0.6994138755979845,4,5.390547518894289,5
RETOUCH-Spectralis,5,missed_disease,342,0.014619883040935644,0.0031932902431517384,3.1932902431517385,0.2730263157894741,1,1.88519544475223,1
RETOUCH-Spectralis,B2,missed_disease,342,0.014619883040935644,0.004958790739030834,4.958790739030834,0.4239766081871371,2,3.2403132587805135,4
RETOUCH-Cirrus,2,missed_disease,342,0.049707602339181256,0.02325501863821346,23.25501863821346,0.5847953216374271,2,15.273930440135427,2
RETOUCH-Cirrus,3,missed_disease,342,0.049707602339181256,0.027110905919770185,27.110905919770186,0.681759545923633,3,19.48035292910639,3
RETOUCH-Cirrus,4,missed_disease,342,0.049707602339181256,0.04133738601823925,41.33738601823925,1.0395136778116052,5,25.798536301768657,5
RETOUCH-Cirrus,5,missed_disease,342,0.049707602339181256,0.02255822304298758,22.55822304298758,0.5672729618163057,1,13.025375329161111,1
RETOUCH-Cirrus,B2,missed_disease,342,0.049707602339181256,0.027807701514996896,27.807701514996896,0.6992819057447753,4,20.39516432406611,4
RETOUCH-Topcon,2,missed_disease,324,0.10802469135802473,0.06902053802773968,69.02053802773968,0.7986662257495588,1,39.83291418991007,2
RETOUCH-Topcon,3,missed_disease,324,0.10802469135802473,0.0764127038561195,76.41270385611949,0.8842041446208109,4,41.09987044657826,3
RETOUCH-Topcon,4,missed_disease,324,0.10802469135802473,0.08366013071895403,83.66013071895404,0.9680672268907534,5,52.38340192043887,4
RETOUCH-Topcon,5,missed_disease,324,0.10802469135802473,0.07607929431489102,76.07929431489102,0.8803461199294529,3,60.37094192958389,5
