source,condition,true_class,predicted_class,count,row_pct
Kermany-test,1,CNV,CNV,242,100.0
Kermany-test,1,CNV,DME,0,0.0
Kermany-test,1,CNV,DRUSEN,0,0.0
Kermany-test,1,CNV,NORMAL,0,0.0
Kermany-test,1,CNV,deferred,0,0.0
Kermany-test,1,DME,CNV,0,0.0
Kermany-test,1,DME,DME,242,100.0
Kermany-test,1,DME,DRUSEN,0,0.0
Kermany-test,1,DME,NORMAL,0,0.0
Kermany-test,1,DME,deferred,0,0.0
Kermany-test,1,DRUSEN,CNV,3,1.24
Kermany-test,1,DRUSEN,DME,0,0.0
Kermany-test,1,DRUSEN,DRUSEN,239,98.76
Kermany-test,1,DRUSEN,NORMAL,0,0.0
Kermany-test,1,DRUSEN,deferred,0,0.0
Kermany-test,1,NORMAL,CNV,0,0.0
Kermany-test,1,NORMAL,DME,0,0.0
Kermany-test,1,NORMAL,DRUSEN,0,0.0
Kermany-test,1,NORMAL,NORMAL,242,100.0
Kermany-test,1,NORMAL,deferred,0,0.0
Kermany-test,2,CNV,CNV,224,92.56
Kermany-test,2,CNV,DME,0,0.0
Kermany-test,2,CNV,DRUSEN,0,0.0
Kermany-test,2,CNV,NORMAL,0,0.0
Kermany-test,2,CNV,deferred,18,7.44
Kermany-test,2,DME,CNV,0,0.0
Kermany-test,2,DME,DME,222,91.74
Kermany-test,2,DME,DRUSEN,0,0.0
Kermany-test,2,DME,NORMAL,0,0.0
Kermany-test,2,DME,deferred,20,8.26
Kermany-test,2,DRUSEN,CNV,0,0.0
Kermany-test,2,DRUSEN,DME,0,0.0
Kermany-test,2,DRUSEN,DRUSEN,236,97.52
Kermany-test,2,DRUSEN,NORMAL,0,0.0
Kermany-test,2,DRUSEN,deferred,6,2.48
Kermany-test,2,NORMAL,CNV,0,0.0
Kermany-test,2,NORMAL,DME,0,0.0
Kermany-test,2,NORMAL,DRUSEN,0,0.0
Kermany-test,2,NORMAL,NORMAL,239,98.76
Kermany-test,2,NORMAL,deferred,3,1.24
Kermany-test,3,CNV,CNV,241,99.59
Kermany-test,3,CNV,DME,0,0.0
Kermany-test,3,CNV,DRUSEN,0,0.0
Kermany-test,3,CNV,NORMAL,0,0.0
Kermany-test,3,CNV,deferred,1,0.41
Kermany-test,3,DME,CNV,0,0.0
Kermany-test,3,DME,DME,233,96.28
Kermany-test,3,DME,DRUSEN,0,0.0
