source,condition,true_state,predicted_state,count,row_pct
Kermany-test,1,Disease,Disease,726,100.0
Kermany-test,1,Disease,Normal,0,0.0
Kermany-test,1,Disease,deferred,0,0.0
Kermany-test,1,Normal,Disease,0,0.0
Kermany-test,1,Normal,Normal,242,100.0
Kermany-test,1,Normal,deferred,0,0.0
Kermany-test,2,Disease,Disease,682,93.94
Kermany-test,2,Disease,Normal,0,0.0
Kermany-test,2,Disease,deferred,44,6.06
Kermany-test,2,Normal,Disease,0,0.0
Kermany-test,2,Normal,Normal,239,98.76
Kermany-test,2,Normal,deferred,3,1.24
Kermany-test,3,Disease,Disease,705,97.11
Kermany-test,3,Disease,Normal,0,0.0
Kermany-test,3,Disease,deferred,21,2.89
Kermany-test,3,Normal,Disease,0,0.0
Kermany-test,3,Normal,Normal,240,99.17
Kermany-test,3,Normal,deferred,2,0.83
Kermany-test,4,Disease,Disease,723,99.59
Kermany-test,4,Disease,Normal,0,0.0
Kermany-test,4,Disease,deferred,3,0.41
Kermany-test,4,Normal,Disease,0,0.0
Kermany-test,4,Normal,Normal,240,99.17
Kermany-test,4,Normal,deferred,2,0.83
Kermany-test,5,Disease,Disease,707,97.38
Kermany-test,5,Disease,Normal,0,0.0
Kermany-test,5,Disease,deferred,19,2.62
Kermany-test,5,Normal,Disease,0,0.0
Kermany-test,5,Normal,Normal,240,99.17
Kermany-test,5,Normal,deferred,2,0.83
Kermany-test,B2,Disease,Disease,654,90.08
Kermany-test,B2,Disease,Normal,0,0.0
Kermany-test,B2,Disease,deferred,72,9.92
Kermany-test,B2,Normal,Disease,0,0.0
Kermany-test,B2,Normal,Normal,240,99.17
Kermany-test,B2,Normal,deferred,2,0.83
Rasti,1,Disease,Disease,740,83.9
Rasti,1,Disease,Normal,142,16.1
Rasti,1,Disease,deferred,0,0.0
Rasti,1,Normal,Disease,27,6.0
Rasti,1,Normal,Normal,423,94.0
Rasti,1,Normal,deferred,0,0.0
Rasti,2,Disease,Disease,596,67.57
Rasti,2,Disease,Normal,56,6.35
Rasti,2,Disease,deferred,230,26.08
Rasti,2,Normal,Disease,25,5.56
Rasti,2,Normal,Normal,253,56.22
Rasti,2,Normal,deferred,172,38.22
Rasti,3,Disease,Disease,490,55.56
Rasti,3,Disease,Normal,61,6.92
Rasti,3,Disease,deferred,331,37.53
Rasti,3,Normal,Disease,10,2.22
Rasti,3,Normal,Normal,314,69.78
Rasti,3,Normal,deferred,126,28.0
Rasti,4,Disease,Disease,618,70.07
Rasti,4,Disease,Normal,96,10.88
Rasti,4,Disease,deferred,168,19.05
Rasti,4,Normal,Disease,27,6.0
Rasti,4,Normal,Normal,380,84.44
Rasti,4,Normal,deferred,43,9.56
Rasti,5,Disease,Disease,558,63.27
Rasti,5,Disease,Normal,68,7.71
Rasti,5,Disease,deferred,256,29.02
Rasti,5,Normal,Disease,19,4.22
Rasti,5,Normal,Normal,349,77.56
Rasti,5,Normal,deferred,82,18.22
