source,condition,n,n_deferred,n_accepted,n_accepted_normal,pct_accepted_normal
RETOUCH-Spectralis,1,342,0,342,5,1.46
RETOUCH-Spectralis,2,342,116,226,0,0.0
RETOUCH-Spectralis,3,342,56,286,1,0.35
RETOUCH-Spectralis,4,342,45,297,3,1.01
RETOUCH-Spectralis,5,342,69,273,1,0.37
RETOUCH-Spectralis,B2,342,103,239,1,0.42
RETOUCH-Cirrus,1,342,0,342,17,4.97
RETOUCH-Cirrus,2,342,53,289,10,3.46
RETOUCH-Cirrus,3,342,50,292,9,3.08
RETOUCH-Cirrus,4,342,13,329,17,5.17
RETOUCH-Cirrus,5,342,35,307,11,3.58
RETOUCH-Cirrus,B2,342,90,252,9,3.57
RETOUCH-Topcon,1,324,0,324,35,10.8
RETOUCH-Topcon,2,324,0,324,35,10.8
RETOUCH-Topcon,3,324,111,213,21,9.86
RETOUCH-Topcon,4,324,18,306,32,10.46
RETOUCH-Topcon,5,324,6,318,35,11.01
RETOUCH-Topcon,B2,324,135,189,15,7.94
OCTDL-ambiguous,1,248,0,248,0,0.0
OCTDL-ambiguous,2,248,14,234,0,0.0
OCTDL-ambiguous,3,248,42,206,0,0.0
OCTDL-ambiguous,4,248,23,225,0,0.0
OCTDL-ambiguous,5,248,30,218,0,0.0
OCTDL-ambiguous,B2,248,51,197,0,0.0
OCTDL-novel-class,1,354,0,354,70,19.77
OCTDL-novel-class,2,354,101,253,30,11.86
OCTDL-novel-class,3,354,194,160,24,15.0
OCTDL-novel-class,4,354,102,252,36,14.29
OCTDL-novel-class,5,354,136,218,35,16.06
OCTDL-novel-class,B2,354,234,120,16,13.33
