source,base_error,augrc_2_x1000,rank_2,augrc_3_x1000,rank_3,augrc_4_x1000,rank_4,augrc_5_x1000,rank_5,augrc_B2_x1000,rank_B2
Kermany-test,0.003099173553719,0.0282810258862098,2.0,0.0314826514582335,3.0,1.5575908407911705,5.0,0.0325498599822414,4.0,0.0112056895020831,1.0
RETOUCH-Spectralis,0.0146198830409356,2.9282514277897453,3.0,2.321227044218734,2.0,5.390547518894289,5.0,1.88519544475223,1.0,3.2403132587805135,4.0
RETOUCH-Cirrus,0.0497076023391812,15.273930440135429,2.0,19.48035292910639,3.0,25.798536301768657,5.0,13.025375329161111,1.0,20.39516432406611,4.0
RETOUCH-Topcon,0.1080246913580247,39.83291418991007,2.0,41.09987044657826,3.0,52.38340192043887,4.0,60.37094192958389,5.0,38.766003657978494,1.0
Rasti,0.2199699699699699,65.83413368323278,4.0,59.394980566151744,1.0,81.55593656720069,5.0,62.432646610574544,2.0,65.00813876939932,3.0
NEH,0.1926441706838064,83.74406655468638,5.0,57.03823530519103,1.0,77.63299105660377,4.0,66.69828767119526,3.0,57.93540458402877,2.0
OCTDL-in-label,0.0950752393980848,28.98017445135405,4.0,21.155408048117337,1.0,32.47780994496119,5.0,23.929281889958283,3.0,23.78845948712856,2.0
OCTDL-ambiguous,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
OCTDL-novel-class,0.1977401129943502,65.37872258929427,1.0,82.31191547767244,4.0,80.4685754412827,3.0,79.28756104567653,2.0,88.87532318299337,5.0
Mean rank,,,2.875,,2.25,,4.5,,2.625,,2.75
