source,base_error,augrc_window_2_x1000,rank_2,augrc_window_3_x1000,rank_3,augrc_window_4_x1000,rank_4,augrc_window_5_x1000,rank_5,augrc_window_B2_x1000,rank_B2
Kermany-test,0.003099173553719,0.0,1.0,0.0,1.0,2.4922118380114267,2.0,0.0,1.0,0.0,1.0
RETOUCH-Spectralis,0.0146198830409356,7.023528607092778,3.0,3.1932902431517385,1.0,8.180279246760039,4.0,3.1932902431517385,1.0,4.958790739030834,2.0
RETOUCH-Cirrus,0.0497076023391812,23.25501863821346,2.0,27.110905919770182,3.0,41.33738601823925,5.0,22.55822304298758,1.0,27.807701514996896,4.0
RETOUCH-Topcon,0.1080246913580247,69.02053802773968,1.0,76.41270385611949,4.0,83.66013071895404,5.0,76.07929431489102,3.0,72.51181222374566,2.0
Rasti,0.2199699699699699,127.29875145415689,5.0,118.7130824518212,2.0,126.01109665354082,4.0,113.55837819801782,1.0,120.46567964360672,3.0
NEH,0.1926441706838064,141.32604180148823,5.0,104.61341677674372,2.0,129.65153442269929,4.0,111.75191194199633,3.0,104.574801299787,1.0
OCTDL-in-label,0.0950752393980848,56.46299973239064,5.0,39.5224857352988,1.0,49.44633622380095,4.0,41.53863212322756,3.0,39.851383240922,2.0
OCTDL-ambiguous,0.0,0.0,,0.0,,0.0,,0.0,,0.0,
OCTDL-novel-class,0.1977401129943502,106.7261961760669,1.0,139.98531711832484,4.0,131.76924956478183,3.0,130.4422420121932,2.0,151.3158734718631,5.0
Mean rank,,,2.875,,2.25,,3.875,,1.875,,2.5
