source,coverage_1,selective_risk_1,coverage_2,selective_risk_2,rank_2,coverage_3,selective_risk_3,rank_3,coverage_4,selective_risk_4,rank_4,coverage_5,selective_risk_5,rank_5,coverage_B2,selective_risk_B2,rank_B2
Kermany-test,1.0,0.003099173553719,0.9514462809917356,0.0,1.0,0.9762396694214877,0.0,1.0,0.9948347107438017,0.0031152647975077,2.0,0.978305785123967,0.0,1.0,0.9235537190082646,0.0,1.0
RETOUCH-Spectralis,1.0,0.0146198830409356,0.6608187134502924,0.0,1.0,0.8362573099415205,0.0034965034965034,2.0,0.868421052631579,0.0101010101010101,5.0,0.7982456140350878,0.0036630036630036,3.0,0.6988304093567252,0.00418410041841,4.0
RETOUCH-Cirrus,1.0,0.0497076023391812,0.8450292397660819,0.0346020761245674,2.0,0.8538011695906433,0.0308219178082191,1.0,0.9619883040935673,0.0516717325227963,5.0,0.8976608187134503,0.0358306188925081,4.0,0.736842105263158,0.0357142857142857,3.0
RETOUCH-Topcon,1.0,0.1080246913580246,1.0,0.1080246913580246,4.0,0.6574074074074074,0.0985915492957746,2.0,0.9444444444444445,0.1045751633986928,3.0,0.9814814814814815,0.110062893081761,5.0,0.5833333333333333,0.0793650793650793,1.0
Rasti,1.0,0.2199699699699699,0.6981981981981982,0.1311827956989247,4.0,0.6569069069069069,0.1051428571428571,2.0,0.8415915915915916,0.1534344335414808,5.0,0.7462462462462462,0.1257545271629778,3.0,0.5307807807807807,0.0876944837340877,1.0
NEH,1.0,0.1926441706838064,0.49163839790513597,0.1520397046362425,5.0,0.5750163661250967,0.0889049886151935,2.0,0.6947568886508362,0.1379989720746959,4.0,0.6376837469499494,0.1141390573961735,3.0,0.43283937392132354,0.0811219579265777,1.0
OCTDL-in-label,1.0,0.0950752393980848,0.8522571819425445,0.0754414125200642,5.0,0.811217510259918,0.0497470489038785,2.0,0.9199726402188783,0.0617100371747211,4.0,0.8871409028727771,0.0585967617579028,3.0,0.7558139534883721,0.0452488687782805,1.0
OCTDL-ambiguous,1.0,0.0,0.9435483870967742,0.0,1.0,0.8306451612903226,0.0,1.0,0.9072580645161291,0.0,1.0,0.8790322580645162,0.0,1.0,0.7943548387096774,0.0,1.0
OCTDL-novel-class,1.0,0.1977401129943503,0.7146892655367232,0.1185770750988142,1.0,0.45197740112994356,0.15,4.0,0.711864406779661,0.1428571428571428,3.0,0.615819209039548,0.1605504587155963,5.0,0.3389830508474576,0.1333333333333333,2.0
Mean rank,,,,,2.875,,,2.0,,,3.875,,,3.375,,,1.75
